Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
A001_HILIC,Pyruvic acid,88.0160,3.93,-1.320000000000000,-0.310000000000000,-0.550000000000000,0.030000000000000,-0.270000000000000,-0.300000000000000,-0.980000000000000,-1.040000000000000,-0.050000000000000,0.588575027196483000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.192404067732311000000000000000,0.039556308409418700000000000000,1.000000000000000000000000000000,65981041.930162500000000,49115571.664277200000000,66735485.190181400000000,20593312.106545600000000,50412006.369067300000000,21765426.881035300000000,50117528.980684600000000,24986068.466453300000000,53912632.445805200000000,45752803.779624500000000,53189423.391180200000000,54520732.266308100000000,75877131.509349300000000,45033240.402922100000000,60278509.277890300000000,46642218.529053300000000,82199146.184657500000000,94650815.622654600000000,93645756.660441500000000,44785645.395348700000000,58457950.317081000000000,41117314.894573100000000,52985122.076906000000000,51091938.253687500000000,2.0E+06,2.1E+06,6.7E+05,2.0E+06,2.4E+06,1.8E+06,2.9E+06,42.9,26.9,9.2,17.3,46.2,15.9,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pyruvic acid,88.0160,3.71,-0.111834801713597,B003,iHILIC_neg_2020,68.351931981663100,1031,C00022,HMDB0000243,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A002_HILIC,L-(+)-Alanine,89.0477,14.83,0.000000000000000,-0.050000000000000,-0.040000000000000,0.230000000000000,-0.340000000000000,-0.570000000000000,0.280000000000000,-0.290000000000000,-0.570000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.293565320157581000000000000000,0.028114073326138000000000000000,0.000354910129650006000000000000,0.059831764778279500000000000000,0.133741669602282000000000000000,0.000301782893514791000000000000,2286273235.727430000000000,2531243577.624930000000000,2418743636.638510000000000,2231978067.367960000000000,2148823341.936550000000000,2020799403.228000000000000,2128349994.572100000000000,2215729189.894400000000000,2118917331.873320000000000,2034558567.822420000000000,1897490940.446260000000000,1615136845.665860000000000,1801059680.795670000000000,1710729487.836730000000000,1881827200.723750000000000,1946363863.108170000000000,2759076745.987300000000000,2811898321.431280000000000,2845034995.199030000000000,2337103581.709700000000000,2951260876.240620000000000,2625290860.217890000000000,2644067939.614450000000000,2908847786.834070000000000,3.1E+06,2.7E+06,1.3E+06,2.9E+06,3.8E+05,3.1E+06,1.8E+06,9.4,4.7,10.8,7.1,9.4,6.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Alanine,89.0477,14.80,0.344160806154653,A072,iHILIC_neg_2020,74.927524987884600,5735,C00041,HMDB0000161,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Alanine,89.0477,14.86,0.344160806154653,A072,iHILIC_pos_2020,74.927524987884600,5735,C00041,HMDB0000161,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In-source L-Cysteinesulfinic acid,89.0478,14.76,-1.021286086845780,,iHILIC_neg_2020,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A003_HILIC,Sarcosine,89.0477,13.63,0.310000000000000,0.040000000000000,0.220000000000000,-4.070000000000000,-4.170000000000000,-0.090000000000000,-3.800000000000000,-4.070000000000000,-0.270000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000058912875204287000000000,0.000000017412677805900800000000,1.000000000000000000000000000000,0.000000060388741685432500000000,0.000000012433811226277600000000,1.000000000000000000000000000000,2846257.372019100000000,3274575.704264520000000,1836680.610178320000000,3074481.571702920000000,2561409.906460540000000,2392991.664761690000000,1300192.385383940000000,1063540.931728470000000,41445088.684610700000000,42409803.687444800000000,32529431.835811800000000,31024718.098224200000000,23681154.993350700000000,33587936.839792100000000,45078287.553377900000000,48189457.386186800000000,42941177.459596800000000,42377874.618358500000000,44804515.424935200000000,58094573.335940400000000,36068308.018586700000000,49375770.822853700000000,31223885.085588400000000,34403077.599916200000000,2.8E+05,9.2E+05,2.8E+05,1.2E+06,3.1E+05,1.2E+06,2.8E+05,21.9,16.2,20.4,26.9,40.8,32.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
