Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
A001_RP,L-(+)-Alanine,89.0478,3.86,0.100000000000000,0.140000000000000,0.210000000000000,0.150000000000000,-1.900000000000000,-2.050000000000000,0.100000000000000,-2.020000000000000,-2.130000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000001151844390660010000000000,0.000002509399715436730000000000,1.000000000000000000000000000000,0.000000778768113128207000000000,0.000001827840972463300000000000,135059946.874985000000000,153000084.689675000000000,117878441.678005000000000,162359059.966935000000000,132043193.310638000000000,120300536.115771000000000,133787136.853828000000000,131058398.406678000000000,174124586.620688000000000,200279618.542560000000000,127468749.462883000000000,104415610.999773000000000,98081637.416348500000000,150467816.748656000000000,112721250.791900000000000,113782222.063015000000000,412394530.820681000000000,566135818.722550000000000,521912406.690717000000000,431679921.073024000000000,473324360.169743000000000,641513240.534085000000000,569243328.155905000000000,589024475.813176000000000,3.0E+07,2.9E+07,3.0E+07,2.8E+07,3.0E+07,2.7E+07,2.6E+07,16.0,13.6,30.6,25.7,13.7,6.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,β-Alanine,89.0477,3.92,1.085923914713660,A055,RP_pos_2020,93.607147766124000,234,C00099,HMDB0000056,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Alanine,89.0477,3.86,1.085923914713660,A072,RP_pos_2020,93.425071124000300,5735,C00041,HMDB0000161,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sarcosine,89.0477,3.85,1.085923914713660,A026,RP_pos_2020,79.342657263807300,1057,C00213,HMDB0000271,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in-source L-cysteinesulfinic acid,89.0477,3.98,1.085923914713660,,RP_neg_2020,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A002_RP,L-a-Amino-n-butyric acid,103.0633,4.05,0.480000000000000,0.460000000000000,-0.180000000000000,1.730000000000000,3.060000000000000,1.330000000000000,1.750000000000000,3.720000000000000,1.970000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,0.000000128364546058307000000000,0.000000000012676619013755400000,0.000003153200219799380000000000,0.000000084331795479695500000000,0.000000000002920478673710630000,0.000000056423257895964300000000,1108141216.962810000000000,1985532195.861870000000000,1182638257.081530000000000,1329347467.678340000000000,1182179515.965800000000000,1691578669.537060000000000,1136432265.389180000000000,1534627492.619200000000000,428324380.398918000000000,458714066.166694000000000,304689929.681915000000000,434588644.280257000000000,356221712.876614000000000,499302733.977363000000000,341785344.230556000000000,545058540.685915000000000,150695890.735553000000000,168915376.238660000000000,142452550.064925000000000,131589379.770681000000000,135724974.009236000000000,113122025.206958000000000,111356760.506075000000000,110030723.383418000000000,1.3E+06,1.3E+06,1.3E+06,1.2E+06,1.6E+05,1.1E+06,1.1E+06,20.7,12.5,10.0,14.5,16.9,3.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-a-Amino-n-butyric acid,103.0633,4.36,-0.173095240100695,E19,RP_pos_2020,89.904927785489700,72524,C02356,HMDB0000452,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,γ-Aminobutyric acid (GABA),103.0633,4.06,-0.173095240100695,B001,RP_pos_2020,86.410927988957000,116,C00334,HMDB0000112,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
