																															Class	Blank	Blank	KO	KO	KO	KO	KO	QC	QC	QC	QC	QC	QC	WT	WT	WT	WT	WT								
																															File type	Blank	Blank	Sample	Sample	Sample	Sample	Sample	QC	QC	QC	QC	QC	QC	Sample	Sample	Sample	Sample	Sample								
																															Injection order	1	18	8	6	16	7	13	2	3	4	5	11	17	15	10	9	12	14								
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Average	Average	Average	Stdev	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	Cell_Blank_01	Cell_Blank_02	Cell_KO_1A	Cell_KO_1B	Cell_KO_2A	Cell_KO_3B	Cell_KO_4A	Cell_QC_01	Cell_QC_02	Cell_QC_03	Cell_QC_04	Cell_QC_05	Cell_QC_06	Cell_WT_1A	Cell_WT_1B	Cell_WT_2A	Cell_WT_3B	Cell_WT_4A	Blank	KO	QC	WT	Blank	KO	QC	WT
7237	10.746	562.51917	Cer 36:2;2O|Cer 18:2;2O/18:0	[M-H]-	ion correlated with 8015; adduct linked to 8277_[M+CH3COO]-; similar chromatogram in higher mz_8015; similar chromatogram in higher mz_8352; similar chromatogram in higher mz_8536; similar chromatogram in higher mz_9707; similar chromatogram in higher mz_10255; similar chromatogram in higher mz_13581; similar chromatogram in higher mz_20510; found in higher mz's MsMs_8277; found in higher mz's MsMs_8015; adduct linked to 7855_[M+Cl]-; similar chromatogram in higher mz_8578; similar chromatogram in higher mz_8734; similar chromatogram in higher mz_10529; similar chromatogram in higher mz_20542	0.889	TRUE	9.95	562.52051	C36H69NO3	Cer_NS	WNPWDGNHTKGEDS-UHFFFAOYSA-N	O=C(NC(CO)C(O)C=CCCC=CCCCCCCCCC)CCCCCCCCCCCCCCCCC	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	99.4	86.1	95.4	100	30572.55	Cell_WT_1B	562.52087:2265328 563.52422:1153731 564.52758:149898	202.07932:56097 203.08696:20014 235.20908:74961 237.22227:5176 261.22522:44002 263.23843:3052 264.23065:6678 265.25415:90573 266.24744:10332 281.25079:3301 281.28412:14192 282.27823:54109 283.26523:37322 296.25693:3695 306.28027:9233 308.29608:317139 324.29135:38059 514.49554:41785 530.49139:38026 532.50684:58491 562.52502:219632	0	0	1355463	989785	1736201	812189	1158107	1418270	1543541	1594005	1606023	1762423	1839193	1385998	2265328	3465639	1401960	1649662	0	1210348.9	1627242.625	2033717.5	0	356190.983	151938.8637	876099.1257
8852	12.77	652.58905	Cer 38:1;2O|Cer 18:1;2O/20:0	[M+CH3COO]-	adduct linked to 7738_[M-H]-; adduct linked to 8413_[M+Cl]-; similar chromatogram in higher mz_13757	0.889	TRUE	12.05	652.5885	C38H75NO3	Cer_NS	XWBWIAOWSABHFI-UHFFFAOYSA-N	O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCC	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	99.5	75.1	90.8	100	54.35	Cell_WT_1B	652.58862:1496965 653.59197:791710 654.59533:132576	89.72504:1709 202.07849:54701 203.08719:15201 237.22214:7818 263.23831:2530 293.28638:7786 308.29599:3910 310.31357:7665 311.29352:3770 336.32843:31647 352.32169:4641 544.55121:5348 560.54456:4096 562.55646:9439 592.56342:57499	9455	23041	982719	746823	1385863	776809	963704	1160458	1226166	1279480	1185357	1382410	1469324	1119081	1496965	2016269	1219139	1607764	16247.7832	971183.3625	1283866	1491843.4	9606.509661	255081.9259	120322.7232	354191.1346
8812	11.858	650.57233	Cer 38:2;2O|Cer 18:2;2O/20:0	[M+CH3COO]-	ion correlated with 11923; adduct linked to 8372_[M+Cl]-; similar chromatogram in higher mz_10864; similar chromatogram in higher mz_19097; similar chromatogram in higher mz_19633; similar chromatogram in higher mz_15471	0.889	TRUE	10.91	650.57288	C38H73NO3	Cer_NS	NBSDZPNNDCXPFZ-UHFFFAOYSA-N	O=C(NC(CO)C(O)C=CCCC=CCCCCCCCCC)CCCCCCCCCCCCCCCCCCC	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	99.1	53.4	73.4	100	50.58	Cell_WT_2A	650.57233:667631 651.57568:294480 652.57904:77096	81.96207:1908 99.47746:1611 156.29462:1703 202.07883:51539 203.08765:16910 235.20892:2859 293.28638:4305 310.31357:3276 336.32761:16151 352.32172:1671 441.57254:1675 466.71051:1854 560.54456:2465 575.42615:1881 590.5426:24779 598.65613:1775 630.68976:1871	0	0	199170	190639	318635	179452	244520	322795	317399	351892	343210	402834	437088	288358	388986	667631	293704	357277	0	226483.1188	362536.3698	399191.2313	0	57140.45492	47508.91357	155990.4687
9419	13.738	680.61932	Cer 40:1;2O|Cer 18:1;2O/22:0	[M+CH3COO]-	adduct linked to 8234_[M-H]-; adduct linked to 8953_[M+Cl]-; similar chromatogram in higher mz_19534	1	TRUE	13.02	680.61981	C40H79NO3	Cer_NS	KEPQASGDXIEOIL-UHFFFAOYSA-N	O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCCCC	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	99.5	80.8	90.8	100	109.16	Cell_QC_05	680.61926:2004431 681.62261:1119797 682.62597:262387	76.01897:1653 190.1716:1658 202.07851:51607 203.08739:18182 221.33243:1828 237.22118:11428 263.23828:7256 321.31644:12978 337.34647:3043 338.34387:10368 339.32529:4343 364.36041:47801 380.35571:6146 572.57953:8190 588.57031:7006 590.59418:10020 620.59912:90185	98751	214758	1205594	1004013	2269808	1140725	1400246	1492758	1665787	1804858	1955101	2004431	2198256	1294585	1722842	2513444	1568706	1961165	156754.6797	1404077.238	1853531.833	1812148.525	82029.21483	504555.6953	252862.0148	460742.3243
9372	12.899	678.60461	Cer 40:2;2O|Cer 18:2;2O/22:0	[M+CH3COO]-	adduct linked to 8900_[M+Cl]-; similar chromatogram in higher mz_10412; similar chromatogram in higher mz_11532; similar chromatogram in higher mz_14320; similar chromatogram in higher mz_16004; similar chromatogram in higher mz_16623	0.889	TRUE	12.44	678.60419	C40H77NO3	Cer_NS	AWTNSRHUZXWBCO-UHFFFAOYSA-N	O=C(NC(CO)C(O)C=CCCC=CCCCCCCCCC)CCCCCCCCCCCCCCCCCCCCC	310	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	99.8	54.6	78.9	100	5101.78	Cell_KO_2A	678.60406:389053 679.60741:272704 680.61077:0	154.57808:1626 202.07866:48079 203.08669:18477 221.58952:1737 235.20886:3502 261.22491:1653 321.31903:3205 338.34521:1841 364.36087:11494 377.82187:1844 380.34677:1895 442.35309:1834 588.57025:2581 618.5835:18421	0	6376	168729	172870	389053	169905	203062	257445	264575	258375	278935	286692	305957	197084	244722	453566	229136	292287	3187.995361	220723.9844	275329.7266	283359.0563	4508.506277	95161.30704	18989.79833	101151.5033
10024	14.622	708.65002	Cer 42:1;2O|Cer 18:1;2O/24:0	[M+CH3COO]-	adduct linked to 8779_[M-H]-; adduct linked to 9517_[M+Cl]-	1	TRUE	13.26	708.65112	C42H83NO3	Cer_NS	ZJVVOYPTFQEGPH-UHFFFAOYSA-N	O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCCCCCC	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	98.1	81.3	90	100	6207.98	Cell_QC_01	708.65009:1941241 709.65344:1223193 710.6568:314485	97.18726:1658 112.67437:1528 115.4404:1638 201.06963:1783 202.07906:52014 203.08723:16667 237.22118:15610 263.23853:7200 268.26672:2249 286.49197:1883 302.85938:1784 349.34695:18771 365.38275:2750 366.37164:13594 367.36084:7609 392.3858:60106 408.38498:7374 600.60376:9072 616.59631:7054 618.62463:10951 648.62714:112210	199869	331866	1359006	1236510	3408856	1420600	1579628	1941241	2101730	2330231	2489168	2770261	3221643	1537606	1830451	3231569	1801808	2493585	265867.5078	1800919.975	2475712.396	2179003.75	93336.53727	907319.8632	466913.1661	685932.1282
9978	13.681	706.63599	Cer 42:2;2O|Cer 18:1;2O/24:1	[M+CH3COO]-	adduct linked to 8737_[M-H]-; adduct linked to 9464_[M+Cl]-	1	TRUE	13.03	706.6355	C42H81NO3	Cer_NS	HZPUWSUHFOTSAY-UHFFFAOYSA-N	O=C(NC(CO)C(O)C=CCCCCCCCCCCCCC)CCCCCCCCCCCC=CCCCCCCCCCC	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	99.6	81.1	90.8	100	69782.73	Cell_WT_4A	706.63593:6499469 707.63928:4396120 708.64264:1022937	118.57562:1628 142.23521:1720 173.73352:1642 190.81232:1761 202.07869:59443 203.0865:20725 237.22198:26536 263.23721:16143 266.24756:3349 268.2666:3254 347.33395:21661 364.36011:17969 365.33932:13862 390.37784:110340 406.36932:15385 407.98886:2081 598.60211:14458 614.59265:13847 616.60968:23041 628.52386:14606 646.61249:172953 706.50702:3339	59463	148256	3084312	2447433	7276417	3298850	3771906	4254968	4425756	4363458	4663042	5050671	5521972	4017115	4092088	6133692	3913940	6499469	103859.4004	3975783.6	4713311.25	4931260.7	62785.67667	1905555.211	486915.8778	1272785.494
