																															Class	Blank	Blank	KO	KO	KO	KO	KO	WT	WT	WT	WT	WT
																															File type	Blank	Blank	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample
																															Injection order	1	18	8	6	16	7	13	15	10	9	12	14
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	Cell_Blank_01	Cell_Blank_02	Cell_KO_1A	Cell_KO_1B	Cell_KO_2A	Cell_KO_3B	Cell_KO_4A	Cell_WT_1A	Cell_WT_1B	Cell_WT_2A	Cell_WT_3B	Cell_WT_4A
42101	7.5	838.55902	BMP 40:7|BMP 18:1_22:6	[M+NH4]+	adduct linked to 40292_[M+H]+; similar chromatogram in higher mz_44345; adduct linked to 42474_[M+Na]+	0.722	TRUE	8.16	838.55933	C46H77O10P	BMP	ZLQZKMCFSDQKCB-UHFFFAOYSA-N	O=C(OC(CO)COP(=O)(O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)CO)CCC=CCC=CCC=CCC=CCC=CCC=CCC	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	99.6	51.4	78.4	100	23.04	Cell_KO_2A	838.55829:605902 839.56164:336351 840.565:88880	115.29274:1747 119.32121:2050 202.07819:6131 212.88953:1727 263.42273:1660 339.28793:10753 385.27692:6318 409.16275:1735 545.81396:1733	49631	57287	379671	267176	605902	300133	367575	369521	416771	528098	322115	373650
43872	6.653	860.54346	BMP 42:10|BMP 20:4_22:6	[M+NH4]+	adduct linked to 44346_[M+Na]+; similar chromatogram in higher mz_46565	0.722	TRUE	7.94	860.54358	C48H75O10P	BMP	AUTHWUWXNBGLGD-UHFFFAOYSA-N	O=C(OC(CO)COP(=O)(O)OCC(OC(=O)CCCCCCC=CCC=CCC=CCC=CCC)CO)CCC=CCC=CCC=CCC=CCC=CCC=CCC	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	98.4	55.6	79.1	100	19.24	Cell_WT_1A	860.54346:415654 861.54681:293482 862.55017:75709	83.14518:1611 96.45242:1575 103.81539:1820 126.72166:1792 168.44626:1857 189.91544:1797 202.07811:5248 361.27875:4578 385.27676:6743	0	0	566941	432967	1142940	489957	633495	415654	569920	727622	431496	504760
46297	6.454	884.54437	BMP 44:12|BMP 22:6_22:6	[M+NH4]+	adduct linked to 44542_[M+H]+; adduct linked to 46768_[M+Na]+	0.722	TRUE	7.78	884.54358	C50H75O10P	BMP	FMHFZIDTIQEZJJ-UHFFFAOYSA-N	O=C(OC(CO)COP(=O)(O)OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)CO)CCC=CCC=CCC=CCC=CCC=CCC=CCC	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	97.4	98.2	48.7	62.2	100	25.05	Cell_QC_02	884.54419:1602655 885.54754:1342567 886.5509:412524	79.05371:3510 81.06993:3523 91.05389:4163 93.0704:5528 95.08562:3386 95.8616:1452 105.06963:3110 117.07087:1892 119.08525:1684 131.08449:2728 145.10211:1926 184.0753:2729 199.38136:1949 202.07808:4805 338.56332:1740 385.27472:27682	0	0	1312479	1077308	3023682	1053466	1585535	620669	1119321	1452866	905758	1217075
11954	1.457	344.27905	CAR 12:0	[M+H]+		0.611	TRUE	4.39	344.27951	C19H37NO4	CAR	FUJLYHJROOYKRA-UHFFFAOYSA-N	O=C([O-])CC(OC(=O)CCCCCCCCCCC)C[N+](C)(C)C	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	91.7	46	83.4	100	31.61	Cell_QC_01	344.27911:500245 345.28246:146063 346.28582:78852	85.02826:34454 89.23975:1616 93.8557:2078 170.04262:2161 195.80107:1607 202.07721:12252 203.08537:2980 269.6908:1663 285.20419:3130 344.05832:3091 344.28003:14731	129372	171698	188935	124261	315463	162608	106775	200802	210143	394757	194465	152542
13826	2.224	372.31039	CAR 14:0	[M+H]+		0.889	TRUE	5.58	372.31079	C21H41NO4	CAR	PSHXNVGSVNEJBD-UHFFFAOYSA-N	O=C([O-])CC(OC(=O)CCCCCCCCCCCCC)C[N+](C)(C)C	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	89.2	47.1	84.5	100	28.82	Cell_QC_01	372.31049:1518174 373.31384:235911 374.3172:0	85.02828:83247 103.6354:1618 144.10248:2898 202.07755:53532 203.08479:13535 211.20689:2376 226.45015:1775 252.69742:1864 313.23511:5840 372.31342:39814	285890	343872	546147	399121	1033109	372374	369606	585517	690170	1166744	621013	483855
13682	1.754	370.29532	CAR 14:1	[M+H]+		0.278	TRUE	4.8	370.2952	C21H39NO4	CAR	ABVVZYXTZLEOHP-UHFFFAOYSA-N	O=C([O-])CC(OC(=O)CCCCCCCC=CCCCC)C[N+](C)(C)C	410	TRUE	TRUE	TRUE		FALSE	FALSE	null	null	100	90.9	28.8	86.4	100	13.95	Cell_WT_3B	370.29498:259809 371.29833:61060 372.30169:69917	81.06998:2923 83.0861:2150 85.02853:7813 95.08566:2991 109.10178:2992 117.08006:2039 127.11129:2064 135.20743:1774 202.07819:5445 203.08533:1731 294.22949:1571 335.29724:3922 370.29681:4941	70579	89056	184861	146364	251676	179424	182818	228004	229430	291465	259809	201843
