,ID,RT [min],m/z,Identification,Adduct type,Statistical Value,p-value,adjusted p-value (BH),fold change KO  vs  WT,Cohens d-value,Power,AUC,Precision in QC [%]
1,146,2.948,121.02962,2-Hydroxybenzaldehyde*,[M-H]-,-0.36,0.72807,0.87929,0.9126,-0.2278,0.0617,0.56,12.2
2,433,1.596,207.0119,2-Naphthalenesulfonic acid*,[M-H]-,-0.03,0.97533,0.97671,0.9924,-0.0203,0.0501,0.48,3
3,278,11.8,161.04562,3-HYDROXY-3-METHYLGLUTARATE*,[M-H]-,-2.02,0.07815,0.23459,0.6719,-1.28,0.4292,0.84,13.1
4,1184,11.688,346.05597,Adenosine Monophosphate,[M-H]-,-0.06,0.95058,0.97671,0.9764,-0.0405,0.0504,0.52,6
5,82,9.142,88.04036,ALANINE,[M-H]-,-3.62,0.0079,0.11338,0.7317,-2.2908,0.8857,0.96,7.3
6,269,5.807,157.03674,ALLANTOIN,[M-H]-,-2.2,0.0676,0.23459,0.6936,-1.3942,0.4915,0.84,8.6
7,237,12.46,145.01439,ALPHA-KETOGLUTARIC ACID,[M-H]-,-2.08,0.07507,0.23459,0.7167,-1.3159,0.4487,0.8,13
8,105,10.198,102.05599,Aminoisobutyric acid*,[M-H]-,-1.68,0.13202,0.31989,0.7355,-1.0639,0.317,0.8,9.3
9,305,14.327,173.10443,Arginine*,[M-H]-,-0.99,0.36561,0.56179,0.8683,-0.6265,0.1415,0.68,9.3
10,315,10.139,175.02495,ASCORBIC ACID,[M-H]-,-3.3,0.01093,0.11338,0.0115,-2.0846,0.8221,0.92,17.5
11,186,11.956,132.0303,ASPARTIC ACID,[M-H]-,-1.34,0.2227,0.42516,0.8635,-0.8463,0.219,0.76,8.3
12,347,9.878,187.09775,Azelaic acid,[M-H]-,1.3,0.24482,0.44067,1.1816,0.822,0.2093,0.72,5.9
13,2152,11.736,662.10162,beta-Nicotinamide adenine dinucleotide*,[M-H]-,-1.21,0.26219,0.45883,0.6067,-0.7642,0.1873,0.72,17
14,1451,2.404,407.28018,CHOLIC ACID,[M-H]-,-0.54,0.60075,0.75694,0.8913,-0.3447,0.0771,0.6,7.3
15,303,13.759,173.00912,cis-Aconitate,[M-H]-,-2.26,0.05582,0.20802,0.7063,-1.4308,0.5116,0.84,7.5
16,160,3.054,129.01927,Citraconic acid,[M-H]-,-0.43,0.68003,0.84003,0.9635,-0.2732,0.0669,0.6,8.6
17,172,9.136,130.06219,Creatine,[M-H]-,-3.51,0.00935,0.11338,0.693,-2.2201,0.8661,0.96,6.2
18,118,2.956,112.05174,Creatinine,[M-H]-,-2.45,0.05613,0.20802,0.5924,-1.5477,0.5752,0.84,18.8
19,550,4.203,226.08316,DEOXYCYTIDINE,[M-H]-,1.71,0.15132,0.35309,1.6883,1.0816,0.3257,0.8,6.4
