Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",Name Metabolite ,Group 
C123_RP,acetyltaurine,167.0253,4.71,0.0,-0.7,-0.5,-2.9,-2.4,0.5,-2.2,-1.9,0.3,1.000,1.000,1.000,0.000,0.000,0.658,0.000,0.000,1.000,5.7E+06,7.6E+06,5.6E+06,5.7E+06,5.9E+06,5.4E+06,5.4E+06,5.4E+06,4.4E+07,2.8E+07,4.0E+07,2.2E+07,3.0E+07,2.3E+07,4.3E+07,3.7E+07,3.8E+07,3.9E+07,3.3E+07,2.0E+07,2.3E+07,2.2E+07,2.7E+07,2.0E+07,4.8E+04,4.4E+04,5.2E+04,4.6E+04,4.3E+04,4.3E+04,5.2E+04,36.9,22.8,24.1,16.1,17.2,4.2,acetyltaurine,AA metabolism / Acetate / Taurine
C222_HILIC,3-Sulfamoylalanine,168.0205,9.68,-0.1,-0.9,1.2,-2.9,-2.4,0.5,-2.1,-3.7,-1.7,1.000,1.000,1.000,0.002,0.004,1.000,0.006,0.000,0.810,1.5E+06,1.2E+06,1.1E+06,1.3E+06,1.3E+06,1.2E+06,1.2E+06,8.9E+05,9.3E+06,5.0E+06,9.6E+06,4.2E+06,5.2E+06,4.9E+06,1.1E+07,1.1E+07,7.4E+06,1.5E+07,4.7E+06,2.5E+06,1.0E+07,2.0E+07,5.8E+06,1.7E+07,8.9E+04,1.8E+05,7.8E+04,1.1E+05,7.2E+04,6.5E+04,8.0E+04,56.2,33.0,52.6,27.3,15.6,14.7,3-Sulfamoylalanine,AA metabolism / Alanine 
A001_RP,L-(+)-Alanine,89.0478,3.86,0.1,0.1,0.2,0.2,-1.9,-2.1,0.1,-2.0,-2.1,1.000,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,1.4E+08,1.5E+08,1.2E+08,1.6E+08,1.3E+08,1.2E+08,1.3E+08,1.3E+08,1.7E+08,2.0E+08,1.3E+08,1.0E+08,9.8E+07,1.5E+08,1.1E+08,1.1E+08,4.1E+08,5.7E+08,5.2E+08,4.3E+08,4.7E+08,6.4E+08,5.7E+08,5.9E+08,3.0E+07,2.9E+07,3.0E+07,2.8E+07,3.0E+07,2.7E+07,2.6E+07,16.0,13.6,30.6,25.7,13.7,6.1,L-(+)-Alanine,AA Metabolism / Alanine 
B095_RP,Acetylarginine,216.1224,6.03,-0.1,0.3,0.2,2.1,0.8,-1.4,1.7,0.5,-1.2,1.000,1.000,1.000,0.000,0.039,0.001,0.000,0.588,0.001,3.1E+07,3.5E+07,2.8E+07,2.0E+07,3.2E+07,3.9E+07,3.0E+07,2.4E+07,9.2E+06,1.1E+07,4.9E+06,7.0E+06,6.1E+06,8.5E+06,8.1E+06,9.6E+06,1.9E+07,2.3E+07,1.9E+07,1.9E+07,1.8E+07,2.7E+07,1.5E+07,1.8E+07,1.0E+05,9.4E+04,9.4E+04,8.7E+04,8.7E+04,8.8E+04,8.9E+04,19.3,11.4,19.7,27.4,30.6,6.3,Acetylarginine,AA metabolism / Arginine 
B143_HILIC,Arginic acid,175.0958,15.90,-0.3,-0.2,0.0,2.1,4.7,2.6,2.0,4.4,2.3,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.6E+08,2.3E+08,2.3E+08,2.0E+08,2.4E+08,1.5E+08,2.4E+08,2.0E+08,5.3E+07,5.2E+07,4.5E+07,4.3E+07,5.8E+07,4.6E+07,6.9E+07,7.5E+07,9.5E+06,1.2E+07,1.1E+07,1.4E+07,6.6E+06,7.3E+06,9.5E+06,4.3E+06,1.9E+05,1.9E+05,4.8E+05,2.0E+05,2.5E+05,2.6E+05,1.9E+05,47.9,20.5,27.2,17.7,17.5,5.5,Arginic acid,AA metabolism / Arginine 
C233_HILIC,Homo-L-arginine,188.1274,25.48,0.2,0.4,0.4,-2.9,-5.0,-2.1,-3.1,-5.2,-2.2,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9E+06,1.6E+07,1.1E+07,8.5E+06,1.3E+07,1.2E+07,6.8E+06,9.0E+06,6.6E+07,8.5E+07,9.8E+07,9.3E+07,6.2E+07,7.3E+07,7.1E+07,1.1E+08,2.9E+08,4.0E+08,4.0E+08,3.1E+08,2.5E+08,4.7E+08,3.0E+08,3.9E+08,2.8E+05,3.3E+05,2.8E+05,2.8E+05,3.5E+05,2.2E+05,2.0E+05,16.7,20.7,15.9,21.9,31.5,32.8,Homo-L-arginine,AA metabolism / Arginine 
A037_RP,L-(+)-Arginine,174.1118,3.66,0.2,1.0,0.3,1.1,0.1,-1.0,0.2,0.0,-0.2,1.000,1.000,1.000,0.012,1.000,0.066,1.000,1.000,1.000,2.4E+08,2.3E+08,2.3E+08,2.2E+08,2.3E+08,3.0E+08,2.5E+08,3.0E+08,1.0E+08,2.6E+08,1.1E+08,1.8E+08,1.1E+08,2.0E+08,1.1E+08,2.4E+08,1.3E+08,1.3E+08,2.1E+08,2.1E+08,2.5E+08,3.9E+08,2.1E+08,3.1E+08,2.2E+05,1.7E+05,1.6E+05,1.6E+05,1.5E+05,1.6E+05,1.6E+05,43.7,24.5,16.3,4.6,16.1,3.9,L-(+)-Arginine,AA metabolism / Arginine 
A044_RP,"NG,NG-dimethylarginine",202.1431,4.69,0.2,0.5,0.2,-1.9,-1.5,0.4,-2.2,-1.6,0.6,1.000,1.000,1.000,0.000,0.000,0.804,0.000,0.000,0.184,4.1E+06,6.5E+06,4.3E+06,3.3E+06,4.1E+06,5.8E+06,3.4E+06,3.0E+06,1.4E+07,2.2E+07,1.7E+07,2.0E+07,1.4E+07,1.7E+07,1.6E+07,2.6E+07,1.2E+07,1.4E+07,1.4E+07,1.3E+07,1.1E+07,1.7E+07,1.2E+07,1.4E+07,1.5E+05,1.4E+05,1.3E+05,1.2E+05,1.1E+05,1.0E+05,1.1E+05,14.7,12.6,16.6,8.5,37.2,10.5,"NG,NG-dimethylarginine",AA metabolism / Arginine 
a076_RP,NG-Methyl-L-arginine,188.1274,3.88,0.3,0.4,0.2,-2.2,-5.2,-3.0,-2.3,-5.1,-2.9,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,9.1E+05,8.6E+05,7.3E+05,7.2E+05,9.4E+05,1.3E+06,7.2E+05,1.2E+06,2.5E+06,4.6E+06,4.6E+06,4.7E+06,3.4E+06,5.2E+06,4.3E+06,6.4E+06,3.1E+07,3.4E+07,3.6E+07,3.7E+07,2.0E+07,4.2E+07,3.0E+07,3.5E+07,9.4E+04,9.1E+04,8.7E+04,8.1E+04,8.5E+04,8.2E+04,8.4E+04,9.8,23.5,15.2,25.3,27.8,14.5,NG-Methyl-L-arginine,AA metabolism / Arginine 
B082_RP,Creatine,131.0695,4.50,0.1,-0.3,-0.4,0.7,0.8,0.1,1.0,1.3,0.2,1.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.935,2.0E+10,2.7E+10,2.4E+10,2.3E+10,2.2E+10,2.0E+10,2.1E+10,2.3E+10,1.4E+10,1.1E+10,1.2E+10,1.0E+10,1.3E+10,1.1E+10,1.4E+10,1.2E+10,1.4E+10,1.3E+10,1.4E+10,9.7E+09,1.2E+10,9.3E+09,1.1E+10,9.5E+09,1.4E+06,1.1E+06,7.9E+05,6.7E+05,1.1E+06,9.4E+05,8.2E+05,14.6,12.6,8.2,7.8,12.0,7.2,Creatine,AA metabolism / Arginine / Glycine 
