ID	Name	metabolitegroupfine	metabolitegroupcoarse
A062_HILIC	NG,NG-dimethylarginine	AA metabolism / Arginine 	aa metabolism
A065_HILIC	Phosphocreatine	AA metabolism / Arginine / Glycine 	aa metabolism
A024_HILIC	N-Acetylputrescine	AA Metabolism / Arginine / Spermidine / Polyamide 	aa metabolism
A028_HILIC	L-(-)-Asparagine	AA Metabolism / Aspargine	aa metabolism
B142_HILIC	N-Acetylaspartic acid	AA metabolism / Aspartate	aa metabolism
B169_HILIC	N-Acetyl-1-aspartylglutamic acid	AA metabolism / Aspartate / Glutamate / Neurotransmitter 	aa metabolism
B160_HILIC	Υ-L-Glutamyl-L-glutamic acid	AA metabolism / Glutamate	aa metabolism
A021_HILIC	L-Pyroglutamic acid	AA metabolism / Glutamate / Glutathione metabolism	aa metabolism
A007_HILIC	gamma-Aminobutyric acid (GABA)	AA Metabolism / Glutamate / Neurotransmitter	aa metabolism
A037_HILIC	L-(+)-Glutamic acid	AA Metabolism / Glutamate / Neurotransmitter	aa metabolism
A015_HILIC	Betaine	AA metabolism / Glycine 	aa metabolism
A006_HILIC	N,N-Dimethylglycine	AA metabolism / Glycine 	aa metabolism
A003_HILIC	Sarcosine	AA metabolism / Glycine 	aa metabolism
A014_HILIC	Guanidineacetic acid	AA metabolism / Glycine / Arginine 	aa metabolism
B121_HILIC	Aminolevulinic acid	AA metabolism / Heme	aa metabolism
A050_HILIC	1-Methyl-L-histidine	AA metabolism / Histidine 	aa metabolism
B120_HILIC	Imidazoleacetic acid	AA metabolism / Histidine 	aa metabolism
A023_HILIC	Ketoleucine (4-Methyl-2-oxopentanoic acid)	AA Metabolism / LNAA / Leucine 	aa metabolism
A016_HILIC	L-(-)-Threonine	AA Metabolism / LNAA / Threonine 	aa metabolism
A022_HILIC	Pipecolic acid	AA metabolism / Lysine 	aa metabolism
A046_HILIC	DL-Methionine sulfoxide	AA Metabolism / Methionine	aa metabolism
A025_HILIC	L-Hydroxyproline	AA Metabolism / Proline 	aa metabolism
A017_HILIC	L-Homoserine	AA Metabolism / Serine 	aa metabolism
A066_HILIC	L-(+)-Cystathionine	AA metabolism / Serine / Homocysteine 	aa metabolism
A010_HILIC	Hypotaurine	AA Metabolism / Taurine 	aa metabolism
A064_HILIC	L-Kynurenine	AA metabolism / Tryptophan	aa metabolism
A063_HILIC	L-Tryptophan	AA metabolism / Tryptophan 	aa metabolism
A057_HILIC	L-(-)-Tyrosine	AA metabolism / Tyrosine	aa metabolism
A082_HILIC	Argininosuccinic acid	AA metabolism / Urea cycle 	aa metabolism
A055_HILIC	L-Citrulline	AA metabolism / Urea cycle / Citrulline	aa metabolism
A029_HILIC	L-Ornithine	AA Metabolism / Urea cycle / Ornithine	aa metabolism
B173_HILIC	N-Acetylneuraminic acid	Acid	other
A102_HILIC	Adenosine 5'-triphosphate (5'-ATP)	Bioenergetic processes / Pyrimidine metabolism 	bioenergetic process
B184_HILIC	Adenosine diphosphate (ADP)	Bioenergetic processes / Pyrimidine metabolism 	bioenergetic process
A084_HILIC	L-Glutathione reduced	Bioenergetic processes / ROS	bioenergetic process
A113_HILIC	Coenzyme A	Bionenergetic processes	bioenergetic process
A114_HILIC	Flavin adenine dinucleotide (FAD)	Bionenergetic processes	bioenergetic process
A111_HILIC	NADPH	Bionenergetic processes	bioenergetic process
A108_HILIC	ß-Nicotinamide adenine dinucleotide (NAD+)	Bionenergetic processes	bioenergetic process
A109_HILIC	ß-Nicotinamide adenine dinucleotide reduced (NADH)	Bionenergetic processes	bioenergetic process
B124_HILIC	DL-Malic acid	Bionenergetic processes / TCA cycle 	bioenergetic process
B118_HILIC	Fumaric acid	Bionenergetic processes / TCA cycle 	bioenergetic process
A044_HILIC	L-2-Aminoadipic acid	Butane metabolism 	other
B180_HILIC	α,α-Trehalose	Carbohydrate / Glucose analoge	other
A079_HILIC	6-Phosphogluconic acid	Carbohydrate / Glucose derivative	other
A061_HILIC	D-Gluconic acid	Carbohydrate / Glucose derivative	other
B148_HILIC	Gluconic acid	Carbohydrate / Glucose derivative	other
