ID	Name	(P2, KO) / (E14_5, KO)	(P2, KO) / (E14_5, KO).1
B169_HILIC	N-Acetyl-1-aspartylglutamic acid	1.600000000000000	0.000001064153970854580000000000
A007_HILIC	gamma-Aminobutyric acid (GABA)	1.340000000000000	0.000000017481447679910700000000
A014_HILIC	Guanidineacetic acid	3.610000000000000	0.000000005274920421364860000000
B120_HILIC	Imidazoleacetic acid	4.410000000000000	0.001301734004615780000000000000
A066_HILIC	L-(+)-Cystathionine	3.530000000000000	0.000000001546277532916170000000
A058_HILIC	DL-p-Hydroxyphenyllactic acid	1.560000000000000	0.007317425503044860000000000000
A057_HILIC	L-(-)-Tyrosine	1.730000000000000	0.000162948043866094000000000000
A029_HILIC	L-Ornithine	1.140000000000000	0.038845450897582300000000000000
B173_HILIC	N-Acetylneuraminic acid	4.420000000000000	0.000000000085863677279363100000
A079_HILIC	6-Phosphogluconic acid	2.970000000000000	0.000594655160016576000000000000
A034_HILIC	Acetylcholine	3.120000000000000	0.000000228515855702102000000000
A067_HILIC	L-Carnosine	3.100000000000000	0.000137697868583705000000000000
A075_HILIC	D-Glucose 6-phosphate	2.330000000000000	0.001161755058351140000000000000
A074_HILIC	D-Glucose-1-phosphate	1.950000000000000	0.008306801544246220000000000000
B157_HILIC	D-Ribose-1-phosphate	4.760000000000000	0.000000011038886996414300000000
A069_HILIC	D-Ribulose 5-phosphate	2.210000000000000	0.000004853724310020200000000000
A051_HILIC	Dihydroxyacetone phosphate	2.830000000000000	0.000001066511673127490000000000
B128_HILIC	Methylimidazoleacetic acid	1.710000000000000	0.001190025574281110000000000000
B178_HILIC	Adrenic acid	1.450000000000000	0.000003177158720140060000000000
B172_HILIC	11(Z),14(Z)-Eicosadienoic acid	1.190000000000000	0.000034597876310291400000000000
B171_HILIC	8Z,11Z,14Z-Eicosatrienoic acid	1.900000000000000	0.000000064935032678337400000000
B170_HILIC	Arachidonic acid	2.800000000000000	0.000000051296947513876500000000
B176_HILIC	Docosahexaenoic acid	1.830000000000000	0.000000002472374516755630000000
B177_HILIC	Docosapentaenoic acid	1.000000000000000	0.013570561044449500000000000000
B155_HILIC	Myristic acid	1.200000000000000	0.000027673321393021400000000000
B161_HILIC	α-Eleostearic acid	2.390000000000000	0.000000033200767856567700000000
A031_HILIC	Hypoxanthine	1.090000000000000	0.002139656942507630000000000000
B138_HILIC	7-Methylguanine	1.310000000000000	0.000163348073602461000000000000
A086_HILIC	Cytidine-5'-monophosphate (5'-CMP)	1.670000000000000	0.000224182961952833000000000000
A091_HILIC	Guanosine 5'-monophosphate (5'-GMP)	2.010000000000000	0.000007238234230144360000000000
A090_HILIC	Inosine 5'-monophosphate (5'-IMP)	3.550000000000000	0.000000003235722748563740000000
A087_HILIC	Uridine 5'-monophosphate (5'-UMP)	1.680000000000000	0.000207339629796458000000000000
A080_HILIC	Guanosine	4.610000000000000	0.000000000377538000861932000000
A078_HILIC	Inosine	5.560000000000000	0.000000020549035075386400000000
A041_HILIC	Xanthine	2.060000000000000	0.000000182792701734559000000000
A068_HILIC	2'-Deoxycytidine	2.890000000000000	0.000001452695464729670000000000
A077_HILIC	Adenosine	2.910000000000000	0.000000479432728195395000000000
A071_HILIC	Cytidine	1.110000000000000	0.003477474081017830000000000000
A070_HILIC	Thymidine	2.490000000000000	0.000208805446771599000000000000
A072_HILIC	Uridine	1.600000000000000	0.001190025574281110000000000000
A081_HILIC	D-Sedoheptulose 7-phosphate	1.620000000000000	0.000473197403210509000000000000
A043_HILIC	Allantoin	1.170000000000000	0.049279303180761900000000000000
A053_HILIC	5-guanidino-2-oxopentanoic acid (2-oxoarginine)	1.300000000000000	0.003571012013510740000000000000
A076_HILIC	Thiamine	1.370000000000000	0.000860756418370545000000000000
B143_HILIC	Arginic acid	2.340000000000000	0.000006947062704893820000000000
C247_HILIC	D-PANTOTHENIC ACID	1.380000000000000	0.002485956853221780000000000000
C251_HILIC	4-Hydroxyprolylthreonine	2.050000000000000	0.000001878897962106000000000000
C211_HILIC	2-Aminomuconic acid	1.080000000000000	0.000005302631134489590000000000
C240_HILIC	2-methylcitric acid	1.050000000000000	0.000012867581854458800000000000
C294_HILIC	D-glycero-beta-D-manno-heptose 1,7-bisphosphate	1.550000000000000	0.011212276447029900000000000000
C276_HILIC	gamma-Glutamyl-S-methylcysteine	4.400000000000000	0.000000021253809190532300000000
C266_HILIC	Glutaurine	1.740000000000000	0.000009197795924798220000000000
C253_HILIC	ile-thr	3.220000000000000	0.000000000804288002453501000000
