ID	Name	(P2, WT) / (E14_5, WT)	(P2, WT) / (E14_5, WT).1
A002_HILIC	L-(+)-Alanine	-0.570000000000000	0.000354910129650006000000000000
B122_HILIC	Creatine	-0.280000000000000	0.046612064592121900000000000000
A012_HILIC	L-Creatinine	-0.530000000000000	0.040510229710684800000000000000
A065_HILIC	Phosphocreatine	-3.590000000000000	0.000015594005681695500000000000
A028_HILIC	L-(-)-Asparagine	-1.100000000000000	0.010733757818409600000000000000
B142_HILIC	N-Acetylaspartic acid	0.810000000000000	0.000053532589896027500000000000
A037_HILIC	L-(+)-Glutamic acid	-0.560000000000000	0.016481963655094400000000000000
A015_HILIC	Betaine	-1.460000000000000	0.000519240282942977000000000000
B121_HILIC	Aminolevulinic acid	-1.030000000000000	0.000134030421193813000000000000
A050_HILIC	1-Methyl-L-histidine	-1.480000000000000	0.001071364370803420000000000000
A023_HILIC	Ketoleucine (4-Methyl-2-oxopentanoic acid)	-5.070000000000000	0.000001429829474272480000000000
A016_HILIC	L-(-)-Threonine	-2.170000000000000	0.000000001493934349244040000000
A022_HILIC	Pipecolic acid	-2.040000000000000	0.000709548031887859000000000000
A046_HILIC	DL-Methionine sulfoxide	-1.660000000000000	0.000010560259755305100000000000
A039_HILIC	L-(-)-Methionine	-0.660000000000000	0.025890932274068000000000000000
B147_HILIC	N-Acetyl-L-methionine	0.710000000000000	0.040510229710684800000000000000
B167_HILIC	5'-S-Methyl-5'-thioadenosine	-0.680000000000000	0.001073202855291600000000000000
A047_HILIC	L-(-)-Phenylalanine	-0.870000000000000	0.003967203453308680000000000000
A010_HILIC	Hypotaurine	-1.730000000000000	0.000007620783971167770000000000
A064_HILIC	L-Kynurenine	-4.510000000000000	0.000009116917021710130000000000
A082_HILIC	Argininosuccinic acid	-1.540000000000000	0.000828079215613690000000000000
A102_HILIC	Adenosine 5'-triphosphate (5'-ATP)	-2.930000000000000	0.000002154083726801630000000000
B184_HILIC	Adenosine diphosphate (ADP)	-1.720000000000000	0.000045419936147300700000000000
A084_HILIC	L-Glutathione reduced	-1.030000000000000	0.001824892281782370000000000000
A111_HILIC	NADPH	-3.000000000000000	0.021806177477831500000000000000
A108_HILIC	ß-Nicotinamide adenine dinucleotide (NAD+)	-1.540000000000000	0.006533266300928480000000000000
B124_HILIC	DL-Malic acid	-1.660000000000000	0.000000592113087526858000000000
B118_HILIC	Fumaric acid	-1.590000000000000	0.000000124808162987922000000000
A044_HILIC	L-2-Aminoadipic acid	-4.090000000000000	0.000246319308729377000000000000
B180_HILIC	α,α-Trehalose	-2.790000000000000	0.005396634537168000000000000000
A061_HILIC	D-Gluconic acid	-1.120000000000000	0.000007768980398310640000000000
B148_HILIC	Gluconic acid	-1.400000000000000	0.000011599061723878700000000000
A073_HILIC	Choline glycerophosphate	-2.190000000000000	0.000019488797339873500000000000
A045_HILIC	L-Carnitine	-1.850000000000000	0.000000006096098804497310000000
B154_HILIC	Propionylcarnitine	-2.520000000000000	0.000022516658338929600000000000
B163_HILIC	Oleamide	-1.040000000000000	0.002292436384643440000000000000
A099_HILIC	CDP-ethanolamine	-0.510000000000000	0.008601926955096170000000000000
A101_HILIC	Cytidine 5'-diphosphocholine (CDP-choline)	-1.170000000000000	0.000061973276052037700000000000
A031_HILIC	Hypoxanthine	0.840000000000000	0.026665746182259600000000000000
B138_HILIC	7-Methylguanine	0.890000000000000	0.003790796156700240000000000000
A100_HILIC	Cytidine 5'-triphosphate (5'-CTP)	-3.860000000000000	0.000000623877616385108000000000
A040_HILIC	Guanine	-4.150000000000000	0.000009201693361236110000000000
A095_HILIC	Thymidine 5'-diphosphate (5'-TDP)	-3.810000000000000	0.000000559969457433605000000000
B183_HILIC	Uridine 5'-diphosphate (UDP)	-2.960000000000000	0.000000061446766927376600000000
A089_HILIC	Adenosine 5'-monophosphate (5'-AMP)	0.880000000000000	0.015446159875661300000000000000
A071_HILIC	Cytidine	0.760000000000000	0.022988068341059100000000000000
A042_HILIC	Orotic acid	-1.270000000000000	0.000030344803354385400000000000
A106_HILIC	UDP-N-acetylglucosamine	-0.780000000000000	0.000569140615194163000000000000
A105_HILIC	Uridine 5'-diphosphoglucose	-0.700000000000000	0.001937814419738830000000000000
A049_HILIC	Uric Acid	-2.690000000000000	0.000036891302336992500000000000
A056_HILIC	Ascorbic acid	0.550000000000000	0.017481971809741000000000000000
A076_HILIC	Thiamine	0.770000000000000	0.042728875807600500000000000000
A097_HILIC	Tocopherol (Vitamin E)	-1.390000000000000	0.019646770940524400000000000000
A083_HILIC	Retinoic acid	-3.050000000000000	0.011995873716617600000000000000
B153_HILIC	Acetylarginine	-2.050000000000000	0.000000096789451635485100000000
C233_HILIC	Homo-L-arginine	-2.100000000000000	0.000015594005681695500000000000
C247_HILIC	D-PANTOTHENIC ACID	0.980000000000000	0.006870219436806890000000000000
C268_HILIC	Homoanserine	-1.020000000000000	0.005027775071922920000000000000
C207_HILIC	g-Butyrobetaine	-1.440000000000000	0.000002021398080442060000000000
C234_HILIC	N-Acetyl-L-glutamic acid	-0.890000000000000	0.001475889942708380000000000000
C217_HILIC	N-(4-Hydroxybutanoyl)glycine	-1.400000000000000	0.003123705146422520000000000000
C278_HILIC	N-Tridecanoylglycine	-2.120000000000000	0.012026732886487800000000000000
C257_HILIC	N-Undecanoylglycine	-2.120000000000000	0.017477246947751800000000000000
A033_HILIC	6-Oxo-pipecolinic acid	-2.500000000000000	0.002030942405731130000000000000
C215_HILIC	N6-METHYLLYSINE	-1.050000000000000	0.023497706842751100000000000000
B130_HILIC	DL-Stachydrine	-4.610000000000000	0.000004265476152358110000000000
C200_HILIC	Pentahomoserine	-1.940000000000000	0.000551857030799958000000000000
C250_HILIC	N-(tert-Butoxycarbonyl)-L-leucine	-3.240000000000000	0.000000017812849865162300000000
B150_HILIC	3-Indoxyl sulphate	-3.920000000000000	0.000000212849523830140000000000
C305_HILIC	N-Stearoyltyrosine	-1.160000000000000	0.027007684085816300000000000000
B141_HILIC	N-Acetylornithine	-4.470000000000000	0.000000053250531757186800000000
C239_HILIC	2-Amino-5-phosphopentanoic acid	-0.870000000000000	0.019642568878771000000000000000
C211_HILIC	2-Aminomuconic acid	0.900000000000000	0.000045417395074194400000000000
B175_HILIC	4-Dodecylbenzenesulfonic acid	-2.680000000000000	0.000030344803354385400000000000
C190_HILIC	Phosphoramidic acid	-0.390000000000000	0.038586122883855200000000000000
C227_HILIC	3,3'-Thiobispropanoic acid	-1.360000000000000	0.000056118034751472000000000000
C208_HILIC	alpha-Ketoglutaric acid	-3.620000000000000	0.000000065595069713537900000000
C240_HILIC	2-methylcitric acid	0.690000000000000	0.000532051531988882000000000000
C286_HILIC	ophthalmic acid	-2.470000000000000	0.000282340854386439000000000000
A112_HILIC	PC	-0.910000000000000	0.006153706930708420000000000000
