ID	Name	(P40, KO) / (E14_5, KO)	(P40, KO) / (E14_5, KO).1
A062_HILIC	NG,NG-dimethylarginine	-1.400000000000000	0.000008424348708891670000000000
A065_HILIC	Phosphocreatine	-5.440000000000000	0.000000131596569665973000000000
A024_HILIC	N-Acetylputrescine	-5.630000000000000	0.000000000028182179693970500000
A028_HILIC	L-(-)-Asparagine	-1.860000000000000	0.000031773412962346400000000000
A030_HILIC	L-(+)-Aspartic acid	0.970000000000000	0.000001105441339048380000000000
B169_HILIC	N-Acetyl-1-aspartylglutamic acid	0.790000000000000	0.002171580724592980000000000000
B134_HILIC	L-Cysteinesulfinic acid	-4.780000000000000	0.001474118789016380000000000000
A037_HILIC	L-(+)-Glutamic acid	0.850000000000000	0.000007390062856915840000000000
A035_HILIC	L-(+)-Glutamine	0.610000000000000	0.004122225284464500000000000000
A015_HILIC	Betaine	-2.770000000000000	0.000000074005731599626900000000
A006_HILIC	N,N-Dimethylglycine	-3.390000000000000	0.000003823632355406020000000000
A003_HILIC	Sarcosine	-4.070000000000000	0.000000012433811226277600000000
B121_HILIC	Aminolevulinic acid	-4.100000000000000	0.000000000003388161546196830000
A050_HILIC	1-Methyl-L-histidine	-1.730000000000000	0.000030956459946323200000000000
A023_HILIC	Ketoleucine (4-Methyl-2-oxopentanoic acid)	-5.810000000000000	0.000000075264990261800200000000
A026_HILIC	L-Leucine	-0.710000000000000	0.032069065830540200000000000000
A016_HILIC	L-(-)-Threonine	-2.620000000000000	0.000000000012779207245670200000
A036_HILIC	L-(+)-Lysine	-1.100000000000000	0.026816674082324200000000000000
B146_HILIC	N6,N6,N6-Trimethyl-L-lysine	0.880000000000000	0.002251570349066350000000000000
A022_HILIC	Pipecolic acid	-3.730000000000000	0.000000656419352940996000000000
A046_HILIC	DL-Methionine sulfoxide	-1.200000000000000	0.000072486293418903500000000000
A094_HILIC	S-(5'-Adenosyl)-L-methionine (SAM)	-1.240000000000000	0.000660026145749538000000000000
A093_HILIC	S-Adenosyl-L-homocysteine	0.640000000000000	0.000657608941433442000000000000
B167_HILIC	5'-S-Methyl-5'-thioadenosine	-1.700000000000000	0.000000014914275068342400000000
