ID	Name	(P40, WT) / (P2, WT)	(P40, WT) / (P2, WT).1
A062_HILIC	NG,NG-dimethylarginine	-1.580000000000000	0.000009138818687980760000000000
A012_HILIC	L-Creatinine	0.640000000000000	0.014809810905944000000000000000
A024_HILIC	N-Acetylputrescine	-5.080000000000000	0.000000000170529833497434000000
A030_HILIC	L-(+)-Aspartic acid	0.690000000000000	0.001525596391035690000000000000
B169_HILIC	N-Acetyl-1-aspartylglutamic acid	-1.010000000000000	0.000069954593662813400000000000
A035_HILIC	L-(+)-Glutamine	0.770000000000000	0.005936852065887770000000000000
A015_HILIC	Betaine	-1.650000000000000	0.000082445822148214300000000000
A006_HILIC	N,N-Dimethylglycine	-4.140000000000000	0.000000647298507631321000000000
A003_HILIC	Sarcosine	-4.070000000000000	0.000000058912875204287000000000
A014_HILIC	Guanidineacetic acid	-2.190000000000000	0.000000992906068170894000000000
B121_HILIC	Aminolevulinic acid	-2.990000000000000	0.000000000058187388934927100000
B120_HILIC	Imidazoleacetic acid	-5.250000000000000	0.000733830928904858000000000000
A023_HILIC	Ketoleucine (4-Methyl-2-oxopentanoic acid)	-3.100000000000000	0.004070186885015570000000000000
A016_HILIC	L-(-)-Threonine	-0.820000000000000	0.000048403878414109900000000000
A022_HILIC	Pipecolic acid	-1.730000000000000	0.019639550875394900000000000000
A094_HILIC	S-(5'-Adenosyl)-L-methionine (SAM)	-0.910000000000000	0.039709140940948100000000000000
B167_HILIC	5'-S-Methyl-5'-thioadenosine	-0.830000000000000	0.000241439702624943000000000000
A025_HILIC	L-Hydroxyproline	-3.610000000000000	0.000000001335250408256760000000
A013_HILIC	L-Proline	-0.990000000000000	0.000203780535402765000000000000
A017_HILIC	L-Homoserine	-1.540000000000000	0.000000984873606102801000000000
A066_HILIC	L-(+)-Cystathionine	-2.870000000000000	0.000000006473342012116830000000
A010_HILIC	Hypotaurine	-2.800000000000000	0.000000005210608696896000000000
A020_HILIC	Taurine	-0.490000000000000	0.031427772368184200000000000000
A063_HILIC	L-Tryptophan	-1.110000000000000	0.032827701710798500000000000000
A055_HILIC	L-Citrulline	-2.370000000000000	0.000000015506559725919200000000
A029_HILIC	L-Ornithine	-2.220000000000000	0.000020801496758245100000000000
A110_HILIC	Nicotinamide adenine dinucleotide phosphate (NADP+)	-0.920000000000000	0.035452861139058400000000000000
A109_HILIC	ß-Nicotinamide adenine dinucleotide reduced (NADH)	-1.510000000000000	0.014135529708401200000000000000
A107_HILIC	L-Glutathione oxidized	0.650000000000000	0.024278682199004100000000000000
B124_HILIC	DL-Malic acid	1.000000000000000	0.000391645184251910000000000000
A061_HILIC	D-Gluconic acid	-1.930000000000000	0.000000002697598906158710000000
B148_HILIC	Gluconic acid	-3.460000000000000	0.000000000022755173007925700000
A059_HILIC	D-(-)-3-Phosphoglyceric acid	-3.240000000000000	0.000024037422649969400000000000
A088_HILIC	D-Fructose 1,6-bisphosphate	-2.610000000000000	0.001423240700572310000000000000
B178_HILIC	Adrenic acid	0.830000000000000	0.001476500899545180000000000000
A045_HILIC	L-Carnitine	0.870000000000000	0.000043657121489451100000000000
B132_HILIC	D-α-Hydroxyglutaric acid	0.580000000000000	0.002593031998513910000000000000
A099_HILIC	CDP-ethanolamine	0.560000000000000	0.004900680061200060000000000000
B129_HILIC	O-Phosphorylethanolamine	-0.630000000000000	0.002425789457480280000000000000
B155_HILIC	Myristic acid	-1.870000000000000	0.000000077760416093691300000000
B161_HILIC	α-Eleostearic acid	-2.300000000000000	0.000000024100119419218900000000
B138_HILIC	7-Methylguanine	-2.940000000000000	0.000000000896770465142596000000
A100_HILIC	Cytidine 5'-triphosphate (5'-CTP)	-2.700000000000000	0.000080595494157231700000000000
A086_HILIC	Cytidine-5'-monophosphate (5'-CMP)	-1.050000000000000	0.012180799483624800000000000000
B158_HILIC	Pseudouridine	-2.050000000000000	0.000006341904363731210000000000
B183_HILIC	Uridine 5'-diphosphate (UDP)	-2.590000000000000	0.000000537546430666981000000000
A087_HILIC	Uridine 5'-monophosphate (5'-UMP)	-1.400000000000000	0.001375099803900010000000000000
A068_HILIC	2'-Deoxycytidine	-1.960000000000000	0.000495127256789686000000000000
A042_HILIC	Orotic acid	-1.160000000000000	0.000072239017385323500000000000
A106_HILIC	UDP-N-acetylglucosamine	-0.720000000000000	0.000992500982580042000000000000
B186_HILIC	Uridine 5'-diphosphoglucuronic acid	-1.590000000000000	0.000022989628424640600000000000
A081_HILIC	D-Sedoheptulose 7-phosphate	-1.620000000000000	0.000026046670304058800000000000
A043_HILIC	Allantoin	-2.510000000000000	0.000022291584667658000000000000
C220_HILIC	acetyltaurine	-2.740000000000000	0.000000005016494690469620000000
C222_HILIC	3-Sulfamoylalanine	-2.940000000000000	0.001547647960151640000000000000
C233_HILIC	Homo-L-arginine	-2.940000000000000	0.000000070678306110333100000000
C247_HILIC	D-PANTOTHENIC ACID	-1.040000000000000	0.003631872545650870000000000000
C267_HILIC	N-(3,4-Dihydroxyphenyl)glutamine	0.950000000000000	0.002587930402441300000000000000
C191_HILIC	2-Amino-3-butenoic acid	-2.660000000000000	0.000418763311824467000000000000
A033_HILIC	6-Oxo-pipecolinic acid	-1.590000000000000	0.008071410721860490000000000000
C226_HILIC	N~6~,N~6~-Dimethyllysine	-1.360000000000000	0.002808334416278070000000000000
C301_HILIC	N-[(9-beta-D-ribofuranosylpurin-6-yl)carbamoyl]threonine	-2.020000000000000	0.000000863001756503921000000000
C250_HILIC	N-(tert-Butoxycarbonyl)-L-leucine	-0.890000000000000	0.001380108664061170000000000000
C190_HILIC	Phosphoramidic acid	0.480000000000000	0.004640776613916330000000000000
C227_HILIC	3,3'-Thiobispropanoic acid	-1.310000000000000	0.000082501523470032900000000000
C228_HILIC	Hexose	-3.480000000000000	0.006969789112346940000000000000
A112_HILIC	PC	-1.830000000000000	0.000029393646292859700000000000
C273_HILIC	glu-asp	-0.930000000000000	0.001519841401960840000000000000
C261_HILIC	Lysylvaline	-0.840000000000000	0.025194016737829100000000000000
B151_HILIC	Valylproline	-1.920000000000000	0.000006881817438162650000000000
C224_HILIC	Hydantoin-5-propionic acid	-0.520000000000000	0.002802192907750930000000000000
C262_HILIC	Glycerophosphoglycerol	0.890000000000000	0.002087057458019640000000000000
C236_HILIC	4-Hydroxy-2-oxoheptanedioic acid	-1.000000000000000	0.001612430737269440000000000000
B149_HILIC	Acetyl-L-carnitine	0.720000000000000	0.012114463036268600000000000000
c363_HILIC	L-Hexanoylcarnitine	-2.110000000000000	0.000024160537758970100000000000
B123_HILIC	2-Hydroxycaproic acid	-1.650000000000000	0.019665397759131700000000000000
C335_HILIC	1-palmitoyl-2-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine	-3.700000000000000	0.000000000035062093968936900000
C306_HILIC	1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	-1.060000000000000	0.001528494494988740000000000000
C332_HILIC	1-tetradecanoyl-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine	-2.920000000000000	0.000000027942044384626000000000
C330_HILIC	1-tetradecanoyl-2-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine	-6.810000000000000	0.000000000005006776355516660000
B185_HILIC	Glycerophospho-N-palmitoyl ethanolamine	-1.070000000000000	0.000192955687649575000000000000
C245_HILIC	Glycerylphosphorylethanolamine	-2.950000000000000	0.000000077760416093691300000000
C308_HILIC	L-alpha-lysophosphatidylcholine	-4.320000000000000	0.000000000005006776355516660000
C346_HILIC	PC	1.000000000000000	0.015389370221138900000000000000
C328_HILIC	PC(14:0/14:0)	-7.290000000000000	0.000000000005006776355516660000
C340_HILIC	PC(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))	-2.180000000000000	0.000000000005006776355516660000
C285_HILIC	1-Methylinosine	-3.280000000000000	0.000000023017811087933700000000
