ID	Name	(P40, WT) / (P2, WT)	(P40, WT) / (P2, WT).1
B142_HILIC	N-Acetylaspartic acid	1.890000000000000	0.000000000309954037744673000000
B160_HILIC	Υ-L-Glutamyl-L-glutamic acid	2.970000000000000	0.000009577579752000410000000000
A021_HILIC	L-Pyroglutamic acid	1.380000000000000	0.001338515018987500000000000000
A007_HILIC	gamma-Aminobutyric acid (GABA)	1.070000000000000	0.000000129853755346722000000000
A037_HILIC	L-(+)-Glutamic acid	1.470000000000000	0.000000092008665238136400000000
B173_HILIC	N-Acetylneuraminic acid	1.670000000000000	0.000008234715827749370000000000
A113_HILIC	Coenzyme A	1.030000000000000	0.000289676507683534000000000000
A114_HILIC	Flavin adenine dinucleotide (FAD)	1.420000000000000	0.000021191277528504200000000000
B124_HILIC	DL-Malic acid	1.000000000000000	0.000391645184251910000000000000
B118_HILIC	Fumaric acid	1.020000000000000	0.000039247794496498400000000000
A044_HILIC	L-2-Aminoadipic acid	2.660000000000000	0.011648149453927700000000000000
A073_HILIC	Choline glycerophosphate	1.950000000000000	0.000068978352078915700000000000
A034_HILIC	Acetylcholine	2.750000000000000	0.000000893572003032623000000000
A067_HILIC	L-Carnosine	3.580000000000000	0.000049093622960824500000000000
A005_HILIC	Glycerin	1.640000000000000	0.000024244651454696800000000000
A052_HILIC	sn-Glycerol-3-phosphate	1.930000000000000	0.002229723762886670000000000000
B157_HILIC	D-Ribose-1-phosphate	3.380000000000000	0.000000731022494003413000000000
A069_HILIC	D-Ribulose 5-phosphate	2.280000000000000	0.000001554976098917020000000000
B119_HILIC	3-Methylhistamine	1.760000000000000	0.043417596666892700000000000000
A101_HILIC	Cytidine 5'-diphosphocholine (CDP-choline)	1.160000000000000	0.000043312546392615000000000000
B170_HILIC	Arachidonic acid	2.400000000000000	0.000000200795357597412000000000
B176_HILIC	Docosahexaenoic acid	1.300000000000000	0.000000146321205505956000000000
A080_HILIC	Guanosine	1.390000000000000	0.000476017797542456000000000000
A041_HILIC	Xanthine	1.770000000000000	0.000000768909909051281000000000
A077_HILIC	Adenosine	4.140000000000000	0.000000001361335428400370000000
B187_HILIC	Guanosine 5'-diphospho-D-mannose	1.540000000000000	0.000001722638280917380000000000
A049_HILIC	Uric Acid	2.700000000000000	0.000012146662331918800000000000
A076_HILIC	Thiamine	1.080000000000000	0.005357127142439070000000000000
B153_HILIC	Acetylarginine	1.840000000000000	0.000000143183237358280000000000
B143_HILIC	Arginic acid	2.120000000000000	0.000060719993075489200000000000
C268_HILIC	Homoanserine	5.970000000000000	0.000000000005006776355516660000
C254_HILIC	2-[(2-Amino-2-carboxyethyl)sulfanyl]succinic acid	1.500000000000000	0.000000577496374518200000000000
C235_HILIC	Prenisteine	1.450000000000000	0.010795132201070900000000000000
C218_HILIC	L-Glutamic acid, 5-methyl ester	2.640000000000000	0.000000545766323081795000000000
C234_HILIC	N-Acetyl-L-glutamic acid	2.530000000000000	0.000000000704119410730336000000
C215_HILIC	N6-METHYLLYSINE	2.070000000000000	0.000030424845888393100000000000
C281_HILIC	saccharopine	5.440000000000000	0.000000009922548189110540000000
C251_HILIC	4-Hydroxyprolylthreonine	1.860000000000000	0.000002599868210815020000000000
B150_HILIC	3-Indoxyl sulphate	4.630000000000000	0.000000008774204906868330000000
C305_HILIC	N-Stearoyltyrosine	2.450000000000000	0.000012448181981497000000000000
B141_HILIC	N-Acetylornithine	3.300000000000000	0.000001308387665460500000000000
C239_HILIC	2-Amino-5-phosphopentanoic acid	1.110000000000000	0.002835148102693840000000000000
C211_HILIC	2-Aminomuconic acid	1.880000000000000	0.000000001123894117689350000000
C240_HILIC	2-methylcitric acid	2.830000000000000	0.000000000014972103934891000000
C249_HILIC	asn-val	8.810000000000000	0.000000000005006776355516660000
C265_HILIC	Asp-Asp	1.130000000000000	0.000042278044380284800000000000
C255_HILIC	beta-Alanyl-1-methyl-L-histidine	10.420000000000000	0.000000000005006776355516660000
C253_HILIC	ile-thr	5.840000000000000	0.000000000005006776355516660000
C270_HILIC	leu-lys	5.660000000000000	0.000000000007423810104668110000
C252_HILIC	Threonyl-4-hydroxyproline	4.490000000000000	0.000000000982576246903450000000
C223_HILIC	glyceraldehyde 3-phosphate	3.980000000000000	0.000000021587975899923600000000
C292_HILIC	glycidyl oleate	1.120000000000000	0.007353418538090570000000000000
B181_HILIC	Palmitoylcarnitine	1.450000000000000	0.000312803295500629000000000000
C280_HILIC	O-glutaroyl-L-carnitine	6.110000000000000	0.000023226464815762500000000000
C210_HILIC	hydroxyacetone phosphate	2.490000000000000	0.005545990331935210000000000000
C323_HILIC	1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	2.220000000000000	0.000000079702233800481500000000
C290_HILIC	1-(sn-glycero-3-phospho)-1D-myo-inositol	1.330000000000000	0.000021191277528504200000000000
C321_HILIC	1-arachidonoyl-sn-glycero-3-phosphocholine	2.070000000000000	0.000000370840312843587000000000
C315_HILIC	1-arachidonyl-sn-glycero-3-phosphoethanolamine	1.370000000000000	0.000200492792928231000000000000
C344_HILIC	1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	1.090000000000000	0.000048147334813327200000000000
C317_HILIC	1-oleoyl-sn-glycero-3-phosphocholine	1.850000000000000	0.000000012861239761246700000000
C343_HILIC	1-stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol)	1.290000000000000	0.027868663519853000000000000000
C320_HILIC	lysophosphatidylethanolamine (22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)	1.670000000000000	0.000000024021764564505600000000
C327_HILIC	Lysophosphatidylinositol	2.070000000000000	0.000001007239559422210000000000
C331_HILIC	N-oleoylsphingosine-1-phosphocholine	2.890000000000000	0.000000984873606102801000000000
C346_HILIC	PC	1.000000000000000	0.015389370221138900000000000000
B174_HILIC	14(Z)-Eicosenoic acid	1.630000000000000	0.000004755205345271390000000000
C192_HILIC	monomethyl phosphate	2.380000000000000	0.000000018074015596160000000000
C198_HILIC	Dihydrothymine	4.830000000000000	0.000000000035062093968936900000
C307_HILIC	Adenylsuccinic acid	1.420000000000000	0.001934037660666600000000000000
C230_HILIC	5-guanidino-3-methyl-2-oxopentanoic acid	1.520000000000000	0.003656346249138210000000000000
A051_RP	L-Anserine	8.020000000000000	0.000000000023894825512177900000
A025_RP	L-Glutamine	1.090000000000000	0.004340888974015910000000000000
A002_RP	L-a-Amino-n-butyric acid	1.730000000000000	0.000000128364546058307000000000
a075_RP	Serotonin	2.510000000000000	0.000000682692041288498000000000
a077_RP	5-Hydroxyindole-3-acetic acid	1.340000000000000	0.000188573474487257000000000000
A029_RP	Dopamine	4.010000000000000	0.000007596260247933340000000000
A014_RP	2-Hydroxyethanesulfonic acid	1.850000000000000	0.000006604477137184260000000000
A022_RP	L-(-)-Malic acid	1.350000000000000	0.000079130477341965300000000000
A011_RP	Succinic acid	1.030000000000000	0.016614196557995700000000000000
A039_RP	D-(+)-Glucose	1.190000000000000	0.000074027256139433100000000000
a078_RP	Prostaglandin D2	2.250000000000000	0.036974440260935500000000000000
B083_RP	Adenine	1.200000000000000	0.003629651900501280000000000000
C153_RP	Succinyladenosine	1.100000000000000	0.000096668170432992100000000000
C148_RP	L-alpha-Glutamyl-L-glutamine	2.530000000000000	0.000192041855805436000000000000
C130_RP	N-Acetyl-L-histidine	3.740000000000000	0.000017933098173152400000000000
C118_RP	3-Methylenenorleucine	4.960000000000000	0.000000909549731864523000000000
C113_RP	1-Methylhistamine	1.480000000000000	0.034959366103728200000000000000
C154_RP	(2E)-hexadecenoylcarnitine	1.260000000000000	0.001927141145933310000000000000
C158_RP	O-oleoylcarnitine	1.950000000000000	0.000027693713467968200000000000
C166_RP	2-arachidonoyl-sn-glycero-3-phosphocholine	2.870000000000000	0.000000028025192622412200000000
C164_RP	2-arachidonyl-sn-glycero-3-phosphoethanolamine	1.690000000000000	0.006120237430047490000000000000
B109_RP	Adenosine diphosphate ribose	6.740000000000000	0.002032278704796070000000000000
