ID	Name	(P2, KO) / (E14_5, KO)	(P2, KO) / (E14_5, KO).1
A023_HILIC	Ketoleucine (4-Methyl-2-oxopentanoic acid)	-4.150000000000000	0.000017410223641718200000000000
A016_HILIC	L-(-)-Threonine	-1.310000000000000	0.000000515635997079684000000000
A046_HILIC	DL-Methionine sulfoxide	-1.020000000000000	0.001815691131624400000000000000
B147_HILIC	N-Acetyl-L-methionine	0.700000000000000	0.023734027693988600000000000000
B167_HILIC	5'-S-Methyl-5'-thioadenosine	-0.690000000000000	0.001532439932746030000000000000
A017_HILIC	L-Homoserine	0.590000000000000	0.022078983514588600000000000000
A102_HILIC	Adenosine 5'-triphosphate (5'-ATP)	-3.020000000000000	0.000000961507184461353000000000
B180_HILIC	α,α-Trehalose	-2.260000000000000	0.015759537724589900000000000000
B163_HILIC	Oleamide	-0.990000000000000	0.006900442379199430000000000000
A101_HILIC	Cytidine 5'-diphosphocholine (CDP-choline)	-1.450000000000000	0.000013178023113398000000000000
B177_HILIC	Docosapentaenoic acid	1.000000000000000	0.013570561044449500000000000000
A100_HILIC	Cytidine 5'-triphosphate (5'-CTP)	-4.270000000000000	0.000000201624410281712000000000
A040_HILIC	Guanine	-3.870000000000000	0.000014960674742518600000000000
A095_HILIC	Thymidine 5'-diphosphate (5'-TDP)	-4.050000000000000	0.000000213740648485894000000000
B183_HILIC	Uridine 5'-diphosphate (UDP)	-2.960000000000000	0.000000056090129201929600000000
A042_HILIC	Orotic acid	-1.380000000000000	0.000021352762698571800000000000
A049_HILIC	Uric Acid	-2.370000000000000	0.000066994231622838100000000000
A083_HILIC	Retinoic acid	-4.170000000000000	0.003263718891974300000000000000
C233_HILIC	Homo-L-arginine	-2.160000000000000	0.000009560721948161350000000000
C256_HILIC	N-(2-Pyrrolidinylcarbonyl)glutamine	0.890000000000000	0.008272352219864440000000000000
C217_HILIC	N-(4-Hydroxybutanoyl)glycine	-0.920000000000000	0.010336645464235000000000000000
C278_HILIC	N-Tridecanoylglycine	-1.730000000000000	0.032189292843371400000000000000
A033_HILIC	6-Oxo-pipecolinic acid	-1.540000000000000	0.016485816546958000000000000000
C200_HILIC	Pentahomoserine	-2.000000000000000	0.000409127189217082000000000000
C250_HILIC	N-(tert-Butoxycarbonyl)-L-leucine	-3.030000000000000	0.000000022754293965698800000000
B150_HILIC	3-Indoxyl sulphate	-3.080000000000000	0.000001499744262124040000000000
B175_HILIC	4-Dodecylbenzenesulfonic acid	-1.860000000000000	0.001318028071779870000000000000
C227_HILIC	3,3'-Thiobispropanoic acid	-1.020000000000000	0.000826983407236967000000000000
C286_HILIC	ophthalmic acid	-2.370000000000000	0.000142070188504884000000000000
A112_HILIC	PC	-0.790000000000000	0.038656239761781300000000000000
C261_HILIC	Lysylvaline	0.890000000000000	0.025225527564777600000000000000
C223_HILIC	glyceraldehyde 3-phosphate	-4.010000000000000	0.000000103995885334967000000000
C292_HILIC	glycidyl oleate	-1.120000000000000	0.002335017687735620000000000000
C236_HILIC	4-Hydroxy-2-oxoheptanedioic acid	0.790000000000000	0.016172585063339100000000000000
c375_HILIC	Dodecanoylcarnitine	-1.080000000000000	0.004333116706861990000000000000
c363_HILIC	L-Hexanoylcarnitine	-3.240000000000000	0.000000106738625879288000000000
c378_HILIC	trans-2-Tetradecenoylcarnitine	-2.730000000000000	0.000002776663739056370000000000
B179_HILIC	Erucamide	-2.350000000000000	0.001429596386741760000000000000
