ID	Name	(P40, KO) / (E14_5, KO)	(P40, KO) / (E14_5, KO).1
A007_HILIC	gamma-Aminobutyric acid (GABA)	2.370000000000000	0.000000000003633054174961050000
B147_HILIC	N-Acetyl-L-methionine	1.220000000000000	0.000035528975610015300000000000
A058_HILIC	DL-p-Hydroxyphenyllactic acid	1.290000000000000	0.005236118478865810000000000000
B173_HILIC	N-Acetylneuraminic acid	5.510000000000000	0.000000000003388161546196830000
B140_HILIC	cis-Aconitic acid	1.190000000000000	0.000100377527138759000000000000
A113_HILIC	Coenzyme A	1.410000000000000	0.000004044517093302350000000000
A114_HILIC	Flavin adenine dinucleotide (FAD)	1.460000000000000	0.000001385312454620940000000000
A079_HILIC	6-Phosphogluconic acid	3.930000000000000	0.000156779137291326000000000000
A005_HILIC	Glycerin	1.990000000000000	0.000000749739821866412000000000
A075_HILIC	D-Glucose 6-phosphate	3.000000000000000	0.000245030269820796000000000000
A074_HILIC	D-Glucose-1-phosphate	2.040000000000000	0.038988921932175300000000000000
B157_HILIC	D-Ribose-1-phosphate	7.700000000000000	0.000000000005043093393866500000
A051_HILIC	Dihydroxyacetone phosphate	3.120000000000000	0.000000114417351088142000000000
B119_HILIC	3-Methylhistamine	2.720000000000000	0.002040776394197220000000000000
B128_HILIC	Methylimidazoleacetic acid	2.920000000000000	0.000003809588753095340000000000
B178_HILIC	Adrenic acid	2.350000000000000	0.000000001494057947994320000000
B172_HILIC	11(Z),14(Z)-Eicosadienoic acid	1.480000000000000	0.000000820776717844590000000000
B171_HILIC	8Z,11Z,14Z-Eicosatrienoic acid	1.970000000000000	0.000000013796898766241100000000
B170_HILIC	Arachidonic acid	5.190000000000000	0.000000000004108906293533780000
B176_HILIC	Docosahexaenoic acid	2.750000000000000	0.000000000004108906293533780000
A070_HILIC	Thymidine	2.220000000000000	0.000204199925847790000000000000
A072_HILIC	Uridine	2.480000000000000	0.000001167380646309350000000000
B187_HILIC	Guanosine 5'-diphospho-D-mannose	1.440000000000000	0.000000617338176990480000000000
A076_HILIC	Thiamine	2.460000000000000	0.000000062672216331716200000000
B143_HILIC	Arginic acid	4.350000000000000	0.000000001564692681664120000000
C268_HILIC	Homoanserine	5.250000000000000	0.000000000003388161546196830000
C254_HILIC	2-[(2-Amino-2-carboxyethyl)sulfanyl]succinic acid	1.160000000000000	0.000003958871583999200000000000
C218_HILIC	L-Glutamic acid, 5-methyl ester	1.870000000000000	0.000003547843061359560000000000
C256_HILIC	N-(2-Pyrrolidinylcarbonyl)glutamine	1.060000000000000	0.001428136416176780000000000000
C225_HILIC	Formiminoglutamic Acid	1.670000000000000	0.000389334262865313000000000000
C281_HILIC	saccharopine	5.770000000000000	0.000000005560989872185330000000
C211_HILIC	2-Aminomuconic acid	2.700000000000000	0.000000000005198638345202000000
C240_HILIC	2-methylcitric acid	3.760000000000000	0.000000000003388161546196830000
C303_HILIC	L-Cysteine-glutathione Disulfide	3.200000000000000	0.036139269242740400000000000000
C249_HILIC	asn-val	8.520000000000000	0.000000000003388161546196830000
C255_HILIC	beta-Alanyl-1-methyl-L-histidine	9.980000000000000	0.000000000003388161546196830000
C276_HILIC	gamma-Glutamyl-S-methylcysteine	4.270000000000000	0.000000008023118533670320000000
C253_HILIC	ile-thr	8.530000000000000	0.000000000003388161546196830000
C270_HILIC	leu-lys	6.530000000000000	0.000000000003388161546196830000
C283_HILIC	leu-phe	4.370000000000000	0.000085366408908230100000000000
C232_HILIC	Gly-Leu	3.370000000000000	0.000007495268903599120000000000
C252_HILIC	Threonyl-4-hydroxyproline	4.810000000000000	0.000000000270999623535368000000
C315_HILIC	1-arachidonyl-sn-glycero-3-phosphoethanolamine	1.900000000000000	0.000001254653699668450000000000
C317_HILIC	1-oleoyl-sn-glycero-3-phosphocholine	2.260000000000000	0.000000000127626129607614000000
C300_HILIC	1-Palmitoyl lysophosphatidic acid	1.610000000000000	0.000000089020647315506200000000
C343_HILIC	1-stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol)	2.690000000000000	0.000242784663229230000000000000
C327_HILIC	Lysophosphatidylinositol	3.910000000000000	0.000000000065414496715000100000
C331_HILIC	N-oleoylsphingosine-1-phosphocholine	3.960000000000000	0.000000010650736987444700000000
B174_HILIC	14(Z)-Eicosenoic acid	2.820000000000000	0.000000002849295964411020000000
C192_HILIC	monomethyl phosphate	2.920000000000000	0.000000000604793639533375000000
C307_HILIC	Adenylsuccinic acid	1.930000000000000	0.000026952423077033100000000000
C230_HILIC	5-guanidino-3-methyl-2-oxopentanoic acid	1.900000000000000	0.000095844507695470800000000000
B082_RP	Creatine	1.250000000000000	0.000000262074628697886000000000
A021_RP	L-(+)-Aspartic acid	1.190000000000000	0.000000338520409132974000000000
A051_RP	L-Anserine	7.770000000000000	0.000000000015987000752762100000
B099_RP	Υ-L-Glutamyl-L-glutamic acid	2.660000000000000	0.000201924546186675000000000000
A015_RP	L-Pyroglutamic acid	1.240000000000000	0.002070871134504640000000000000
A027_RP	L-(+)-Glutamic acid	1.210000000000000	0.000000042838268738750100000000
A025_RP	L-Glutamine	1.370000000000000	0.000048927308949996000000000000
A064_RP	S-Adenosyl-L-homocysteine	1.990000000000000	0.000000762418793292439000000000
A002_RP	L-a-Amino-n-butyric acid	3.720000000000000	0.000000000002920478673710630000
