ID	Name	(P40, WT) / (E14_5, WT)	(P40, WT) / (E14_5, WT).1
A007_HILIC	gamma-Aminobutyric acid (GABA)	2.240000000000000	0.000000000004012481168580920000
B173_HILIC	N-Acetylneuraminic acid	5.440000000000000	0.000000000003299087854754150000
A113_HILIC	Coenzyme A	1.160000000000000	0.000043131635473990400000000000
A114_HILIC	Flavin adenine dinucleotide (FAD)	1.310000000000000	0.000015143351931719800000000000
A079_HILIC	6-Phosphogluconic acid	3.970000000000000	0.000055840599258070700000000000
A005_HILIC	Glycerin	1.580000000000000	0.000012367839308351000000000000
A075_HILIC	D-Glucose 6-phosphate	2.000000000000000	0.001391014226143760000000000000
B157_HILIC	D-Ribose-1-phosphate	7.860000000000000	0.000000000004012481168580920000
A051_HILIC	Dihydroxyacetone phosphate	3.240000000000000	0.000000035990050950823200000000
B128_HILIC	Methylimidazoleacetic acid	2.850000000000000	0.000006401648973075630000000000
B178_HILIC	Adrenic acid	2.110000000000000	0.000000006623472637878030000000
B171_HILIC	8Z,11Z,14Z-Eicosatrienoic acid	1.670000000000000	0.000000276198556981234000000000
B170_HILIC	Arachidonic acid	5.020000000000000	0.000000000003988301271731690000
B176_HILIC	Docosahexaenoic acid	2.580000000000000	0.000000000007781218742044620000
A070_HILIC	Thymidine	1.970000000000000	0.000236059397750666000000000000
A072_HILIC	Uridine	2.500000000000000	0.000003025649731453790000000000
B187_HILIC	Guanosine 5'-diphospho-D-mannose	1.460000000000000	0.000001887841357459620000000000
A076_HILIC	Thiamine	1.850000000000000	0.000005665153664749240000000000
B143_HILIC	Arginic acid	4.670000000000000	0.000000000583387870820084000000
C268_HILIC	Homoanserine	4.950000000000000	0.000000000003310654582721740000
C216_HILIC	S-Allyl-L-cysteine	1.770000000000000	0.010272462169086700000000000000
C254_HILIC	2-[(2-Amino-2-carboxyethyl)sulfanyl]succinic acid	1.190000000000000	0.000006350565367659890000000000
C235_HILIC	Prenisteine	1.600000000000000	0.002141766300974460000000000000
C218_HILIC	L-Glutamic acid, 5-methyl ester	2.200000000000000	0.000001884091909115410000000000
C225_HILIC	Formiminoglutamic Acid	1.680000000000000	0.000233300984515819000000000000
C215_HILIC	N6-METHYLLYSINE	1.030000000000000	0.028903195552428900000000000000
C281_HILIC	saccharopine	5.080000000000000	0.000000010806361800861800000000
C211_HILIC	2-Aminomuconic acid	2.780000000000000	0.000000000004835749085114260000
C240_HILIC	2-methylcitric acid	3.530000000000000	0.000000000003299087854754150000
C249_HILIC	asn-val	8.620000000000000	0.000000000003299087854754150000
C255_HILIC	beta-Alanyl-1-methyl-L-histidine	10.210000000000000	0.000000000003299087854754150000
C276_HILIC	gamma-Glutamyl-S-methylcysteine	4.190000000000000	0.000000012237716822810900000000
C253_HILIC	ile-thr	8.670000000000000	0.000000000003299087854754150000
C270_HILIC	leu-lys	6.230000000000000	0.000000000003299087854754150000
C283_HILIC	leu-phe	4.040000000000000	0.000216916730008177000000000000
C232_HILIC	Gly-Leu	3.190000000000000	0.000011063083969866100000000000
C252_HILIC	Threonyl-4-hydroxyproline	5.100000000000000	0.000000000055840757703243900000
C315_HILIC	1-arachidonyl-sn-glycero-3-phosphoethanolamine	1.730000000000000	0.000005596832678280270000000000
C317_HILIC	1-oleoyl-sn-glycero-3-phosphocholine	2.440000000000000	0.000000000185878634977213000000
C300_HILIC	1-Palmitoyl lysophosphatidic acid	1.020000000000000	0.000061193200275260300000000000
C327_HILIC	Lysophosphatidylinositol	3.100000000000000	0.000000001698375947188850000000
C331_HILIC	N-oleoylsphingosine-1-phosphocholine	3.500000000000000	0.000000078827703564852300000000
B174_HILIC	14(Z)-Eicosenoic acid	2.010000000000000	0.000000298234266694018000000000
C192_HILIC	monomethyl phosphate	2.580000000000000	0.000000004624671966808280000000
B139_HILIC	1-Methylguanine	1.050000000000000	0.000724781810932099000000000000
C307_HILIC	Adenylsuccinic acid	1.650000000000000	0.000043383009361770900000000000
C230_HILIC	5-guanidino-3-methyl-2-oxopentanoic acid	1.590000000000000	0.000660593950327247000000000000
A021_RP	L-(+)-Aspartic acid	1.250000000000000	0.000000279558116795182000000000
A051_RP	L-Anserine	7.650000000000000	0.000000000032444933264864000000
B099_RP	Υ-L-Glutamyl-L-glutamic acid	2.320000000000000	0.000518832898714903000000000000
A015_RP	L-Pyroglutamic acid	1.020000000000000	0.031127454084596900000000000000
A025_RP	L-Glutamine	1.140000000000000	0.000782619289198676000000000000
A064_RP	S-Adenosyl-L-homocysteine	1.010000000000000	0.000942772471223348000000000000
A002_RP	L-a-Amino-n-butyric acid	3.060000000000000	0.000000000012676619013755400000
a075_RP	Serotonin	4.440000000000000	0.000000000111103828839756000000
a077_RP	5-Hydroxyindole-3-acetic acid	4.200000000000000	0.000000000016246064322882200000
A029_RP	Dopamine	4.690000000000000	0.000001234845031209250000000000
A014_RP	2-Hydroxyethanesulfonic acid	2.110000000000000	0.000001240070644755170000000000
A061_RP	Adenosine 5'-monophosphate (5'-AMP)	2.070000000000000	0.000014261559238523300000000000
A072_RP	L-Glutathione oxidized	1.280000000000000	0.020548129137525600000000000000
A011_RP	Succinic acid	1.160000000000000	0.001736691355235870000000000000
B085_RP	Acetylcholine	7.270000000000000	0.000033805707214329300000000000
B092_RP	Glycyl-L-leucine	3.020000000000000	0.000000002505571984458120000000
A049_RP	L-Carnosine	5.790000000000000	0.000000000461068058732472000000
A036_RP	sn-Glycerol-3-phosphate	1.600000000000000	0.020490489641819600000000000000
A054_RP	a-D-Glucose 1-phosphate	1.610000000000000	0.012806195880072700000000000000
A050_RP	D-Ribulose 5'-phosphate	4.660000000000000	0.000000000032444933264864000000
a078_RP	Prostaglandin D2	4.850000000000000	0.000000722018995401554000000000
B104_RP	3'-Adenosine monophosphate (3'-AMP)	1.740000000000000	0.000040713817033157500000000000
B083_RP	Adenine	1.680000000000000	0.000028894758881440900000000000
