ID	Name	(P40, WT) / (P2, WT)	(P40, WT) / (P2, WT).1
A024_HILIC	N-Acetylputrescine	-5.080000000000000	0.000000000170529833497434000000
A006_HILIC	N,N-Dimethylglycine	-4.140000000000000	0.000000647298507631321000000000
A003_HILIC	Sarcosine	-4.070000000000000	0.000000058912875204287000000000
B121_HILIC	Aminolevulinic acid	-2.990000000000000	0.000000000058187388934927100000
B120_HILIC	Imidazoleacetic acid	-5.250000000000000	0.000733830928904858000000000000
A023_HILIC	Ketoleucine (4-Methyl-2-oxopentanoic acid)	-3.100000000000000	0.004070186885015570000000000000
A016_HILIC	L-(-)-Threonine	-0.820000000000000	0.000048403878414109900000000000
B167_HILIC	5'-S-Methyl-5'-thioadenosine	-0.830000000000000	0.000241439702624943000000000000
A017_HILIC	L-Homoserine	-1.540000000000000	0.000000984873606102801000000000
A110_HILIC	Nicotinamide adenine dinucleotide phosphate (NADP+)	-0.920000000000000	0.035452861139058400000000000000
A109_HILIC	ß-Nicotinamide adenine dinucleotide reduced (NADH)	-1.510000000000000	0.014135529708401200000000000000
A059_HILIC	D-(-)-3-Phosphoglyceric acid	-3.240000000000000	0.000024037422649969400000000000
A088_HILIC	D-Fructose 1,6-bisphosphate	-2.610000000000000	0.001423240700572310000000000000
B178_HILIC	Adrenic acid	0.830000000000000	0.001476500899545180000000000000
B132_HILIC	D-α-Hydroxyglutaric acid	0.580000000000000	0.002593031998513910000000000000
B129_HILIC	O-Phosphorylethanolamine	-0.630000000000000	0.002425789457480280000000000000
B155_HILIC	Myristic acid	-1.870000000000000	0.000000077760416093691300000000
B161_HILIC	α-Eleostearic acid	-2.300000000000000	0.000000024100119419218900000000
B138_HILIC	7-Methylguanine	-2.940000000000000	0.000000000896770465142596000000
A100_HILIC	Cytidine 5'-triphosphate (5'-CTP)	-2.700000000000000	0.000080595494157231700000000000
A086_HILIC	Cytidine-5'-monophosphate (5'-CMP)	-1.050000000000000	0.012180799483624800000000000000
B158_HILIC	Pseudouridine	-2.050000000000000	0.000006341904363731210000000000
B183_HILIC	Uridine 5'-diphosphate (UDP)	-2.590000000000000	0.000000537546430666981000000000
A087_HILIC	Uridine 5'-monophosphate (5'-UMP)	-1.400000000000000	0.001375099803900010000000000000
A068_HILIC	2'-Deoxycytidine	-1.960000000000000	0.000495127256789686000000000000
A042_HILIC	Orotic acid	-1.160000000000000	0.000072239017385323500000000000
