ID	Name	(P40, WT) / (P2, WT)	(P40, WT) / (P2, WT).1
A007_HILIC	gamma-Aminobutyric acid (GABA)	1.070000000000000	0.000000129853755346722000000000
B173_HILIC	N-Acetylneuraminic acid	1.670000000000000	0.000008234715827749370000000000
A113_HILIC	Coenzyme A	1.030000000000000	0.000289676507683534000000000000
A114_HILIC	Flavin adenine dinucleotide (FAD)	1.420000000000000	0.000021191277528504200000000000
A005_HILIC	Glycerin	1.640000000000000	0.000024244651454696800000000000
B157_HILIC	D-Ribose-1-phosphate	3.380000000000000	0.000000731022494003413000000000
B119_HILIC	3-Methylhistamine	1.760000000000000	0.043417596666892700000000000000
A101_HILIC	Cytidine 5'-diphosphocholine (CDP-choline)	1.160000000000000	0.000043312546392615000000000000
B170_HILIC	Arachidonic acid	2.400000000000000	0.000000200795357597412000000000
B176_HILIC	Docosahexaenoic acid	1.300000000000000	0.000000146321205505956000000000
B187_HILIC	Guanosine 5'-diphospho-D-mannose	1.540000000000000	0.000001722638280917380000000000
A049_HILIC	Uric Acid	2.700000000000000	0.000012146662331918800000000000
A076_HILIC	Thiamine	1.080000000000000	0.005357127142439070000000000000
B143_HILIC	Arginic acid	2.120000000000000	0.000060719993075489200000000000
C268_HILIC	Homoanserine	5.970000000000000	0.000000000005006776355516660000
C254_HILIC	2-[(2-Amino-2-carboxyethyl)sulfanyl]succinic acid	1.500000000000000	0.000000577496374518200000000000
C235_HILIC	Prenisteine	1.450000000000000	0.010795132201070900000000000000
C218_HILIC	L-Glutamic acid, 5-methyl ester	2.640000000000000	0.000000545766323081795000000000
C215_HILIC	N6-METHYLLYSINE	2.070000000000000	0.000030424845888393100000000000
C281_HILIC	saccharopine	5.440000000000000	0.000000009922548189110540000000
B150_HILIC	3-Indoxyl sulphate	4.630000000000000	0.000000008774204906868330000000
C239_HILIC	2-Amino-5-phosphopentanoic acid	1.110000000000000	0.002835148102693840000000000000
C211_HILIC	2-Aminomuconic acid	1.880000000000000	0.000000001123894117689350000000
C240_HILIC	2-methylcitric acid	2.830000000000000	0.000000000014972103934891000000
C249_HILIC	asn-val	8.810000000000000	0.000000000005006776355516660000
C265_HILIC	Asp-Asp	1.130000000000000	0.000042278044380284800000000000
C255_HILIC	beta-Alanyl-1-methyl-L-histidine	10.420000000000000	0.000000000005006776355516660000
C253_HILIC	ile-thr	5.840000000000000	0.000000000005006776355516660000
C270_HILIC	leu-lys	5.660000000000000	0.000000000007423810104668110000
C252_HILIC	Threonyl-4-hydroxyproline	4.490000000000000	0.000000000982576246903450000000
C223_HILIC	glyceraldehyde 3-phosphate	3.980000000000000	0.000000021587975899923600000000
C292_HILIC	glycidyl oleate	1.120000000000000	0.007353418538090570000000000000
C290_HILIC	1-(sn-glycero-3-phospho)-1D-myo-inositol	1.330000000000000	0.000021191277528504200000000000
C315_HILIC	1-arachidonyl-sn-glycero-3-phosphoethanolamine	1.370000000000000	0.000200492792928231000000000000
C317_HILIC	1-oleoyl-sn-glycero-3-phosphocholine	1.850000000000000	0.000000012861239761246700000000
C343_HILIC	1-stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol)	1.290000000000000	0.027868663519853000000000000000
C327_HILIC	Lysophosphatidylinositol	2.070000000000000	0.000001007239559422210000000000
C331_HILIC	N-oleoylsphingosine-1-phosphocholine	2.890000000000000	0.000000984873606102801000000000
B174_HILIC	14(Z)-Eicosenoic acid	1.630000000000000	0.000004755205345271390000000000
C192_HILIC	monomethyl phosphate	2.380000000000000	0.000000018074015596160000000000
C307_HILIC	Adenylsuccinic acid	1.420000000000000	0.001934037660666600000000000000
C230_HILIC	5-guanidino-3-methyl-2-oxopentanoic acid	1.520000000000000	0.003656346249138210000000000000
A037_RP	L-(+)-Arginine	1.100000000000000	0.011852420105022000000000000000
A051_RP	L-Anserine	8.020000000000000	0.000000000023894825512177900000
B099_RP	Υ-L-Glutamyl-L-glutamic acid	2.780000000000000	0.000038080632719220000000000000
A015_RP	L-Pyroglutamic acid	1.130000000000000	0.018545753621292500000000000000
A027_RP	L-(+)-Glutamic acid	1.700000000000000	0.000000001065237897890370000000
A025_RP	L-Glutamine	1.090000000000000	0.004340888974015910000000000000
A002_RP	L-a-Amino-n-butyric acid	1.730000000000000	0.000000128364546058307000000000
a075_RP	Serotonin	2.510000000000000	0.000000682692041288498000000000
a077_RP	5-Hydroxyindole-3-acetic acid	1.340000000000000	0.000188573474487257000000000000
A029_RP	Dopamine	4.010000000000000	0.000007596260247933340000000000
A058_RP	Argininosuccinic acid	1.330000000000000	0.008417940540691220000000000000
A014_RP	2-Hydroxyethanesulfonic acid	1.850000000000000	0.000006604477137184260000000000
A072_RP	L-Glutathione oxidized	1.610000000000000	0.016373083370037100000000000000
A008_RP	Fumaric acid	1.610000000000000	0.000004090103938951900000000000
A022_RP	L-(-)-Malic acid	1.350000000000000	0.000079130477341965300000000000
A011_RP	Succinic acid	1.030000000000000	0.016614196557995700000000000000
A032_RP	L-2-Aminoadipic acid	2.820000000000000	0.001070383639244690000000000000
A053_RP	Choline glycerophosphate	1.800000000000000	0.000066407743940629200000000000
B085_RP	Acetylcholine	6.290000000000000	0.001112946998181820000000000000
A049_RP	L-Carnosine	3.440000000000000	0.000002110978187348190000000000
A036_RP	sn-Glycerol-3-phosphate	2.310000000000000	0.000441489643229540000000000000
