mapid	name	ncommon	ncompounds	compounds	pvalue	reject	padj
mmu00970	Aminoacyl-tRNA biosynthesis - Mus musculus (mouse)	12	17	['C00152', 'C00188', 'C00049', 'C00041', 'C00148', 'C00047', 'C00135', 'C00065', 'C00079', 'C00082', 'C00062', 'C00407', 'C00064', 'C00025', 'C00123', 'C00073', 'C00078']	0.0008121458369285228	False	0.054413771074211026
mmu00564	Glycerophospholipid metabolism - Mus musculus (mouse)	6	9	['C00307', 'C00093', 'C00570', 'C00065', 'C00114', 'C01996', 'C00111', 'C00346', 'C00670']	0.03322746048207287	False	0.6329538229440678
mmu00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Mus musculus (mouse)	4	5	['C00079', 'C00082', 'C00074', 'C00354', 'C00078']	0.0386315349350807	False	0.6329538229440678
mmu00630	Glyoxylate and dicarboxylate metabolism - Mus musculus (mouse)	5	8	['C00042', 'C00417', 'C00149', 'C00065', 'C00064', 'C00025', 'C00158', 'C00022']	0.0740513154806888	False	0.6329538229440678
mmu00010	Glycolysis / Gluconeogenesis - Mus musculus (mouse)	4	6	['C00031', 'C00186', 'C00074', 'C00103', 'C00111', 'C00022']	0.08755012346677328	False	0.6329538229440678
mmu00730	Thiamine metabolism - Mus musculus (mouse)	3	4	['C00003', 'C00378', 'C00022', 'C00082']	0.10053578514971087	False	0.6329538229440678
mmu00360	Phenylalanine metabolism - Mus musculus (mouse)	3	4	['C00079', 'C00042', 'C00022', 'C00082']	0.10053578514971087	False	0.6329538229440678
mmu00983	Drug metabolism - other enzymes - Mus musculus (mouse)	2	2	['C00003', 'C00006']	0.10375996484839457	False	0.6329538229440678
mmu00120	Primary bile acid biosynthesis - Mus musculus (mouse)	2	2	['C05122', 'C00245']	0.10375996484839457	False	0.6329538229440678
mmu00600	Sphingolipid metabolism - Mus musculus (mouse)	2	2	['C00346', 'C00065']	0.10375996484839457	False	0.6329538229440678
mmu00260	Glycine, serine and threonine metabolism - Mus musculus (mouse)	7	14	['C00581', 'C00188', 'C02291', 'C00719', 'C00263', 'C00022', 'C00049', 'C00065', 'C00114', 'C00430', 'C00213', 'C00300', 'C01026', 'C00078']	0.12279560295961013	False	0.6329538229440678
