name	ID	pearsonr
L-(+)-Lactic acid	A004_HILIC	-0.47861885729178943
L-(-)-Serine	A009_HILIC	-0.4715947259894079
Taurocholic acid	A103_HILIC	-0.32291937032192214
N-Acetyl-L-phenylalanine	C241_HILIC	-0.09384064565831625
Stearic acid	B164_HILIC	-0.0894980766717496
L-(-)-Arabitol	B133_HILIC	-0.03003904919899301
D-(-)-Mannitol	B145_HILIC	0.12039849117827311
Citric acid	A060_HILIC	0.1686258595569887
deoxyuridine	C248_HILIC	0.17009245811509321
S-Allyl-L-cysteine	C216_HILIC	0.2428413941832372
β-Nicotinamide adenine dinucleotide (NAD+)	A073_RP	0.2905968629407275
(-)-Riboflavin	A092_HILIC	0.3424868958615317
Stearoyl-L-carnitine	A066_RP	0.35584060669264367
Platelet-activating factor	C319_HILIC	0.4254166438510972
L-(-)-Phenylalanine	A047_HILIC	0.4531574104406128
L-(-)-Methionine	A039_HILIC	0.479737551482267
L-(+)-Isoleucine	A027_HILIC	0.5743969663476078
Prenisteine	C235_HILIC	0.5908063190559283
hydroxycitric acid	C242_HILIC	0.5984087284417972
3-Sulfamoylalanine	C222_HILIC	0.6738754358443133
N-Acetylornithine	B141_HILIC	0.6960816938669201
glycidyl oleate	C292_HILIC	0.7726115083231723
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	C306_HILIC	0.7908860948523422
Taurine	A020_HILIC	0.7911049079913843
D-erythronic acid	B126_HILIC	0.8021179243022777
3-Hydroxybutyric acid	A008_HILIC	0.8114185157393672
1-Octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoserine	C347_HILIC	0.828398336073703
L-(+)-Glutamine	A035_HILIC	0.8360274362959281
2-Amino-5-phosphopentanoic acid	C239_HILIC	0.8405272660767125
L-Leucine	A026_HILIC	0.8501423752320679
3-hydroxyhexadecanoylcarnitine	C157_RP	0.8508947568448076
Choline	B116_HILIC	0.8551944883460083
N-(3,4-Dihydroxyphenyl)glutamine	C267_HILIC	0.8567392968323333
CMP-sialic acid	C326_HILIC	0.8600634747780204
Pyruvic acid	A001_HILIC	0.8647691537247642
Guanosine 5'-diphosphate (5'-GDP)	A098_HILIC	0.86955921579305
L-Creatinine	A012_HILIC	0.8715839772339339
1-Methyladenosine	C284_HILIC	0.8775642743949915
L-(+)-Lysine	A036_HILIC	0.878099774848648
Glycerophosphoglycerol	C262_HILIC	0.880644067194051
D-α-Hydroxyglutaric acid	B132_HILIC	0.8819561321333885
CDP-ethanolamine	A099_HILIC	0.8836811165101851
N6,N6,N6-Trimethyl-L-lysine	B146_HILIC	0.8864090404029271
Allysine	C206_HILIC	0.8876137320783773
Phosphoramidic acid	C190_HILIC	0.8880230031055978
1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphocholine	C341_HILIC	0.8880508552188383
L-Proline	A013_HILIC	0.8911113261452456
1-hexadecanoyl-2-[(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl]-sn-glycero-3-phosphocholine	C345_HILIC	0.892437726325335
3-Oxopropanoic acid	B115_HILIC	0.9018397143635599
L-Homoserine	A017_HILIC	0.9109102150342795
N-(2-Pyrrolidinylcarbonyl)glutamine	C256_HILIC	0.9118800253532957
L-Threonic acid	B125_HILIC	0.9164434702967789
Ascorbic acid	A056_HILIC	0.9170808249832654
S-3-oxodecanoyl cysteamine	C141_RP	0.9173385112748761
Hydantoin-5-propionic acid	C224_HILIC	0.9193886834381189
Isophthalic acid	B088_RP	0.920557009367892
NG,NG-dimethylarginine	A062_HILIC	0.9224464404155363
N-[(9-beta-D-ribofuranosylpurin-6-yl)carbamoyl]threonine	C301_HILIC	0.9253603324128242
L-(-)-Malic acid	A022_RP	0.9287814291102882
Creatine	B122_HILIC	0.9291283858277178
11(Z),14(Z)-Eicosadienoic acid	B172_HILIC	0.9309833855036235
Histidine	A030_RP	0.9336169397311663
L-(-)-Tyrosine	A057_HILIC	0.9381359541209868
p-Hydroxyphenyllactic acid	A041_RP	0.9393531140062338
L-Cysteine-glutathione Disulfide	C303_HILIC	0.9400381711506134
O-Phosphorylethanolamine	B129_HILIC	0.9435082224493413
1-(sn-glycero-3-phospho)-1D-myo-inositol	C290_HILIC	0.9445219583573539
Valylvaline	C246_HILIC	0.9479035552363696
Uric Acid	A049_HILIC	0.9480821993124009
Linoleic acid	B162_HILIC	0.948480596457063
Docosapentaenoic acid	B177_HILIC	0.9485118143419836
L-Cysteinesulfinic acid	B134_HILIC	0.9491847697566846
(R)-3-hydroxybutyrylcarnitine	C264_HILIC	0.9506855424609844
Glycyl-L-leucine	B092_RP	0.9510891153452307
Aminolevulinic acid	B121_HILIC	0.9536704120714198
D-Sedoheptulose 7-phosphate	A081_HILIC	0.9545228324349042
Valylproline	B151_HILIC	0.9550257084068924
N-Acetyl-1-aspartylglutamic acid	B169_HILIC	0.9554184052958014
Acetylarginine	B153_HILIC	0.9570329836338741
6-Aminonicotinic acid	B127_HILIC	0.9590501536593053
Lysylvaline	C261_HILIC	0.9600895777653401
Glycerophospho-N-palmitoyl ethanolamine	B185_HILIC	0.9622658868224883
